case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,7.265625000000019e-06,2156438.502911907,2.9266980780051457e-49,-4.689131145801088e-68
misaligned,xz,-2.953125e-05,8.04687500000002e-06,2162651.204287743,1.5297239979795333e-48,-2.4509110367918443e-67
misaligned,xz,-2.953125e-05,8.82812500000002e-06,2168685.0135022216,2.6238539300958957e-47,-4.203918060523759e-66
misaligned,xz,-2.953125e-05,9.609375000000018e-06,2174356.143802653,1.365130616725567e-46,-2.1872015564746915e-65
misaligned,xz,-2.953125e-05,1.0390625000000019e-05,2179866.8996046036,2.2695045848645247e-45,-3.636183472735881e-64
misaligned,xz,-2.953125e-05,1.1171875000000019e-05,2185050.5024518855,1.1757908410606885e-44,-1.8838434443819247e-63
misaligned,xz,-2.953125e-05,1.195312500000002e-05,2190094.2315533347,1.895241329313574e-43,-3.0365426300595385e-62
misaligned,xz,-2.953125e-05,1.273437500000002e-05,2194848.6083115316,9.797363552511326e-43,-1.5697268924984454e-61
misaligned,xz,-2.953125e-05,1.351562500000002e-05,2199485.0712803807,1.5315134657873549e-41,-2.453781157924253e-60
misaligned,xz,-2.953125e-05,1.429687500000002e-05,2203871.230611058,7.949527909172614e-41,-1.2736683359696877e-59
misaligned,xz,-2.953125e-05,1.507812500000002e-05,2208162.3937439816,1.2060592169130533e-39,-1.9323410613320773e-58
misaligned,xz,-2.953125e-05,1.585937500000002e-05,2212242.640084096,6.404606994880639e-39,-1.0261423918769386e-57
misaligned,xz,-2.953125e-05,1.6640625000000023e-05,2216251.305033982,9.43041072530308e-38,-1.5109353837613633e-56
misaligned,xz,-2.953125e-05,1.7421875000000022e-05,2220088.0083890855,5.324298081626427e-37,-8.530561554835736e-56
misaligned,xz,-2.953125e-05,1.8203125000000024e-05,2223876.635396112,7.605701273511977e-36,-1.218581725999464e-54
misaligned,xz,-2.953125e-05,1.8984375000000023e-05,2227531.203911978,4.906647607667083e-35,-7.861405706237561e-54
misaligned,xz,-2.953125e-05,1.976562500000002e-05,2231160.9437256656,6.8339418840712945e-34,-1.0949310143110989e-52
misaligned,xz,-2.953125e-05,2.0546875000000023e-05,2234693.002167335,5.521502399301555e-33,-8.846524617301268e-52
misaligned,xz,-2.953125e-05,2.1328125000000022e-05,2238222.934057475,7.56134416092617e-32,-1.2114753041745396e-50
misaligned,xz,-2.953125e-05,2.2109375000000024e-05,2241689.696553304,6.593246390753421e-31,-1.0563672779628344e-49
misaligned,xz,-2.953125e-05,2.2890625000000023e-05,2245176.255948576,8.278292355858673e-30,-1.3263451644292982e-48
misaligned,xz,-2.953125e-05,2.367187500000002e-05,2248632.070420545,7.646573964435679e-29,-1.225131653103969e-47
misaligned,xz,-2.953125e-05,2.4453125000000023e-05,2252128.6397763984,8.761954291985495e-28,-1.4038380361827534e-46
misaligned,xz,-2.953125e-05,2.5234375000000022e-05,2255624.674137134,8.320766858474401e-27,-1.3331514537916174e-45
misaligned,xz,-2.953125e-05,2.6015625000000024e-05,2259181.304245069,8.733746066048234e-26,-1.3993193975518851e-44
misaligned,xz,-2.953125e-05,2.6796875000000023e-05,2262765.3401450943,8.084028627298393e-25,-1.2952221856142985e-43
misaligned,xz,-2.953125e-05,2.757812500000002e-05,2266428.5656072497,7.771369229684206e-24,-1.245128373952957e-42
misaligned,xz,-2.953125e-05,2.8359375000000024e-05,2270144.8635624507,6.808435499745804e-23,-1.0908475396155071e-41
misaligned,xz,-2.953125e-05,2.9140625000000022e-05,2273957.574825451,5.995773001389891e-22,-9.606430614663552e-41
misaligned,xz,-2.953125e-05,2.992187500000002e-05,2277846.7742325813,4.8923429961767005e-21,-7.83851666510305e-40
