case,nominal_inner_spacing_m,actual_FDTD_cells,actual_timesteps,Z_real_ohm,Z_imag_ohm,S11_abs,Z_relative_error_to_100ohm,runtime_s,peak_RSS_KiB
coarse,0.00075,165731,3780,100.0073556970952,0.4744556807415039,0.33337936011872893,0.0047451269663481115,8.410492547000104,169736
baseline,0.0005,171349,3810,100.00711034280943,0.46896079534630714,0.3333779627443312,0.004690146954485632,8.450517293000303,170332
fine,0.00025,268037,5676,100.0188291039543,1.1035785162689045,0.33348912627826194,0.01103739134363731,17.060220712000955,185152
