case,PML_cells,actual_FDTD_cells,actual_timesteps,Z_real_ohm,Z_imag_ohm,S11_abs,runtime_s,peak_RSS_KiB
baseline,8,171349,3810,100.00711034280943,0.46896079534630714,0.3333779627443312,8.450517293000303,170332
pml10,10,211185,3213,100.0070567288525,0.46898530263057303,0.3333777258653312,8.515881257999354,178316
