time_s,V_port_V,I_port_A,I_conduction_A,I_gap_displacement_A,I_external_capacitor_A,I_series_A,Rsp_ohm,Z_dynamic_ohm,Z_dynamic_valid,impedance_current_gate_A,waveform_valid,KCL_residual_A,P_port_W,P_conduction_W,E_Cgap_J
0.0,100.0,0.331831585045817,0.4147894813072712,-0.08295789626145425,-0.331831585045817,0.0,241.08615214839827,301.35769018549786,True,3.31831585045817e-09,True,2.7755575615628914e-17,33.1831585045817,41.47894813072712,1e-09
1.25e-11,94.93970505392986,0.31479630804475484,0.3937999101478488,-0.07900360210309396,-0.3160144084123758,-0.001218100367620978,241.08615214839827,301.5909101463547,True,3.31831585045817e-09,True,-2.7755575615628914e-17,29.886668637835072,37.38724731970085,9.013547595727194e-10
2.5e-11,90.12063827221596,0.298573854977287,0.3738109280401267,-0.07523707306283975,-0.300948292251359,-0.002374437274071996,241.08615214839827,301.8370053837151,True,3.31831585045817e-09,True,2.7755575615628914e-17,26.90766638194915,33.68807942810561,8.121729442591595e-10
3.75e-11,85.53134513919643,0.2831256272049275,0.35477502285800483,-0.07164939565307733,-0.28659758261230933,-0.003471955407381799,241.08615214839827,302.0967970422843,True,3.31831585045817e-09,True,1.3877787807814457e-17,24.216115738216118,30.344384926834316,7.315611001320342e-10
5e-11,81.1609149022309,0.2670684064988479,0.3349638730306457,-0.06789546653179782,-0.27158186612719126,-0.0045134596283434,242.2975175439458,303.8956047486696,True,3.31831585045817e-09,True,2.7755575615628914e-17,21.675516212927402,27.18597439436191,6.587094107767165e-10
6.25e-11,77.01892452798705,0.25319503162002055,0.3178692266792128,-0.0646741950591923,-0.2586967802367692,-0.005501748616748641,242.2975175439458,304.1881352694641,True,3.31831585045817e-09,True,4.163336342344337e-17,19.50080903120366,24.4819459793759,5.931914735447767e-10
7.5e-11,73.07347168088157,0.2399806819310883,0.30158572164334346,-0.06160503971225521,-0.24642015884902085,-0.006439476917932573,242.2975175439458,304.4973082536077,True,3.31831585045817e-09,True,4.163336342344337e-17,17.536221565050027,22.03791568986309,5.339732263496601e-10
8.750000000000001e-11,69.31527531689056,0.2273942340724333,0.2860750535932287,-0.0586808195207954,-0.2347232780831816,-0.007329044010748306,242.2975175439458,304.82424323393855,True,3.31831585045817e-09,True,0.0,15.761893940204171,19.829371101108872,4.804607392256338e-10
1e-10,65.73549252395217,0.21415849501704837,0.26974130278701863,-0.055582807769970266,-0.22233123107988106,-0.0081727360628327,243.69828366942892,306.9478636311822,True,3.31831585045817e-09,True,0.0,14.077814148134031,17.731577392757185,4.3211549773665726e-10
1.125e-10,62.34419764301861,0.20286570669469664,0.2558253456047605,-0.052959638910063896,-0.21183855564025558,-0.00897284894555894,243.69828366942892,307.31757801156454,True,3.31831585045817e-09,True,3.469446951953614e-17,12.64749971316481,15.94922590847673,3.886798979751767e-10
