time_s,V_port_V,I_port_A,I_conduction_A,I_gap_displacement_A,I_external_capacitor_A,I_series_A,Rsp_ohm,Z_dynamic_ohm,Z_dynamic_valid,impedance_current_gate_A,waveform_valid,KCL_residual_A,P_port_W,P_conduction_W,E_Cgap_J,interval_index,sample_side
0.0,100.0,0.331831585045817,0.4147894813072712,-0.08295789626145425,-0.331831585045817,0.0,241.08615214839827,301.35769018549786,True,3.31831585045817e-09,True,2.7755575615628914e-17,33.1831585045817,41.47894813072712,1e-09,1,RIGHT
4.996427892174678e-12,97.94763114952752,0.32492227768386706,0.40627647119788446,-0.08135419351401742,-0.32541677405606967,-0.0004944963722026337,241.08615214839827,301.4494169120211,True,3.31831585045817e-09,True,1.3877787807814457e-17,31.825367406843768,39.79381794562203,9.593738447803894e-10,1,INTERIOR
1.7496427892174678e-11,92.98516865854488,0.30821664971862134,0.38569269877146967,-0.0774760490528483,-0.3099041962113932,-0.0016875464927718579,241.08615214839827,301.6876886548256,True,3.31831585045817e-09,True,-2.7755575615628914e-17,28.659577157457655,35.86370064563445,8.646241590458037e-10,1,INTERIOR
2.999642789217468e-11,88.2592888582895,0.2923081916887246,0.36609024646078525,-0.07378205477206073,-0.29512821908824294,-0.0028200273995183513,241.08615214839827,301.9391565744272,True,3.31831585045817e-09,True,5.551115123125783e-17,25.7989131258994,32.31086481058484,7.789702069770984e-10,1,INTERIOR
4.249642789217468e-11,83.75875776063546,0.2771590480773274,0.3474225168647536,-0.07026346878742626,-0.28105387514970503,-0.0038948270723776707,241.08615214839827,302.20466674884364,True,3.31831585045817e-09,True,2.7755575615628914e-17,23.21449756907718,29.099678430665186,7.015529501604811e-10,1,INTERIOR
5e-11,81.1609149022309,0.2684148584320908,0.33664693794719935,-0.06823207951510855,-0.2729283180604342,-0.004513459628343431,241.08615214839827,302.37117042000375,True,3.31831585045817e-09,True,-1.3877787807814457e-17,21.784795483701274,27.322573482829252,6.587094107767165e-10,1,LEFT
5e-11,81.1609149022309,0.2670684064988479,0.3349638730306457,-0.06789546653179782,-0.27158186612719126,-0.0045134596283434,242.2975175439458,303.8956047486696,True,3.31831585045817e-09,True,2.7755575615628914e-17,21.675516212927402,27.18597439436191,6.587094107767165e-10,2,RIGHT
6.25e-11,77.01892452798705,0.25319503162002055,0.3178692266792128,-0.0646741950591923,-0.2586967802367692,-0.005501748616748641,242.2975175439458,304.1881352694641,True,3.31831585045817e-09,True,4.163336342344337e-17,19.50080903120366,24.4819459793759,5.931914735447767e-10,2,INTERIOR
7.5e-11,73.07347168088157,0.2399806819310883,0.30158572164334346,-0.06160503971225521,-0.24642015884902085,-0.006439476917932573,242.2975175439458,304.4973082536077,True,3.31831585045817e-09,True,4.163336342344337e-17,17.536221565050027,22.03791568986309,5.339732263496601e-10,2,INTERIOR
8.75e-11,69.31527531689056,0.2273942340724333,0.2860750535932287,-0.0586808195207954,-0.2347232780831816,-0.007329044010748305,242.2975175439458,304.82424323393855,True,3.31831585045817e-09,True,0.0,15.761893940204171,19.829371101108872,4.804607392256338e-10,2,INTERIOR
9.999999999999999e-11,65.73549252395216,0.21540603393834723,0.2713007264386422,-0.055894692500294996,-0.22357877000117998,-0.008172736062832758,242.2975175439458,305.17015388142164,True,3.31831585045817e-09,True,0.0,14.15982173356841,17.834086874550156,4.3211549773665705e-10,2,INTERIOR
1e-10,65.73549252395216,0.21540603393834723,0.2713007264386422,-0.055894692500294996,-0.22357877000117998,-0.008172736062832758,242.2975175439458,305.17015388142164,True,3.31831585045817e-09,True,0.0,14.15982173356841,17.834086874550156,4.3211549773665705e-10,2,LEFT
1e-10,65.73549252395217,0.21415849501704837,0.26974130278701863,-0.055582807769970266,-0.22233123107988106,-0.0081727360628327,243.69828366942892,306.9478636311822,True,3.31831585045817e-09,True,0.0,14.077814148134031,17.731577392757185,4.3211549773665726e-10,3,RIGHT
1.125e-10,62.34419764301861,0.20286570669469664,0.2558253456047605,-0.052959638910063896,-0.21183855564025558,-0.00897284894555894,243.69828366942892,307.31757801156454,True,3.31831585045817e-09,True,3.469446951953614e-17,12.64749971316481,15.94922590847673,3.886798979751767e-10,3,INTERIOR
1.25e-10,59.11297353348148,0.19210667078430477,0.24256622838454975,-0.05045955760024494,-0.20183823040097976,-0.00973155961667499,243.69828366942892,307.7091143797545,True,3.31831585045817e-09,True,-4.163336342344337e-17,11.355996545677847,14.338811038612313,3.494343639970082e-10,3,INTERIOR
1.3750000000000002e-10,56.034309085253724,0.18185633929094486,0.22993312977642047,-0.048076790485475626,-0.1923071619419025,-0.010450822650957656,243.69828366942892,308.12403517925554,True,3.31831585045817e-09,True,1.3877787807814457e-17,10.190194324941576,12.884144062831702,3.139843794661748e-10,3,INTERIOR
1.5e-10,53.10104549304724,0.17209083909089595,0.21789667409015312,-0.04580583499925717,-0.18322333999702867,-0.011132500906132707,243.69828366942892,308.56404543997843,True,3.31831585045817e-09,True,0.0,9.138203475502339,11.570541203644908,2.8197210324546723e-10,3,LEFT
1.5e-10,53.101045493047245,0.17100397420318247,0.21653809298051127,-0.04553411877732879,-0.18213647510931516,-0.0111325009061327,245.2272704637997,310.5252128816256,True,3.31831585045817e-09,True,-6.938893903907228e-18,9.08048981365507,11.498399126335823,2.819721032454673e-10,4,RIGHT
1.625e-10,50.32247311058854,0.1618102990338428,0.2052074918723899,-0.04339719283854709,-0.17358877135418835,-0.01177847232034555,245.2272704637997,310.99672524592233,True,3.31831585045817e-09,True,-6.938893903907228e-18,8.142694422146846,10.326548491839658,2.532351299965907e-10,4,INTERIOR
1.7500000000000002e-10,47.67432191322509,0.15304887952987872,0.19440872878068732,-0.041359849250808586,-0.16543939700323435,-0.012390517473355622,245.2272704637997,311.4973599262316,True,3.31831585045817e-09,True,-1.3877787807814457e-17,7.296501551165845,9.268304318631355,2.2728409698858144e-10,4,INTERIOR
1.8750000000000002e-10,45.15051410333074,0.14469956965320233,0.18411701935896985,-0.039417449705767535,-0.15766979882307014,-0.012970229169867809,245.2272704637997,312.02935994586437,True,3.31831585045817e-09,True,1.3877787807814457e-17,6.533259960372801,8.312978079230387,2.0385689237950684e-10,4,INTERIOR
2e-10,42.745254972832704,0.1367431617286871,0.1743087336575103,-0.03756557192882319,-0.15026228771529276,-0.013519125986605658,245.2272704637997,312.59519256724377,True,3.31831585045817e-09,True,1.3877787807814457e-17,5.84512131388403,7.450871264181863,1.8271568226924793e-10,4,LEFT
2e-10,42.74525497283269,0.13583004288192957,0.17316733509906337,-0.03733729221713382,-0.14934916886853528,-0.0135191259866057,246.8436379665918,314.69661693318506,True,3.31831585045817e-09,True,1.3877787807814457e-17,5.806089815958877,7.402081891775423,1.827156822692478e-10,5,RIGHT
2.1250000000000002e-10,40.4665524496214,0.12834103159386648,0.1639359749474208,-0.0355949433535543,-0.1423797734142172,-0.014038741820350732,246.8436379665918,315.3048713031798,True,3.31831585045817e-09,True,-1.3877787807814457e-17,5.193519086431715,6.6339237285896235,1.63754186715796e-10,5,INTERIOR
2.2500000000000002e-10,38.294207824478704,0.12120228282396941,0.1551354863343146,-0.03393320351034519,-0.13573281404138077,-0.014530531217411356,246.8436379665918,315.9528594036143,True,3.31831585045817e-09,True,1.3877787807814457e-17,4.641345407262331,5.940790554637819,1.4664463529043662e-10,5,INTERIOR
2.375e-10,36.22330042263353,0.11439758923735782,0.14674593488018534,-0.03234834564282753,-0.1293933825713101,-0.01499579333395229,246.8436379665918,316.64391412545956,True,3.31831585045817e-09,True,1.3877787807814457e-17,4.1438582425698405,5.315622084965169,1.3121274935083623e-10,5,INTERIOR
2.5e-10,34.24913708224091,0.1079114928712948,0.13874830789390746,-0.030836815022612665,-0.12334726009045066,-0.01543576721915586,246.8436379665918,317.3817373010453,True,3.31831585045817e-09,True,0.0,3.695875512098238,4.752009816987405,1.1730033908781292e-10,5,LEFT
2.5e-10,34.2491370822409,0.10716269495505777,0.13781231049861117,-0.03064961554355342,-0.12259846217421368,-0.0154357672191559,248.52015729455496,319.59943800036393,True,3.31831585045817e-09,True,1.734723475976807e-17,3.670229829618139,4.719952713887281,1.1730033908781287e-10,6,RIGHT
2.625e-10,32.378333321414736,0.101057287578477,0.1302845357651966,-0.029227248186719606,-0.11690899274687842,-0.015851705168401425,248.52015729455496,320.3958279235531,True,3.31831585045817e-09,True,-3.469446951953614e-18,3.2720665417739934,4.218396125631315,1.0483564686726358e-10,6,INTERIOR
2.7500000000000003e-10,30.594370393968603,0.09523599523162503,0.1231061927814051,-0.027870197549780068,-0.11148079019912027,-0.016244794967495244,248.52015729455496,321.24797267629253,True,3.31831585045817e-09,True,0.0,2.9136853129545637,3.7663564597456114,9.360154998033427e-11,6,INTERIOR
2.8750000000000004e-10,28.893260398348517,0.08968576845119614,0.11626123495529254,-0.02657546650409641,-0.10630186601638564,-0.016616097565189496,248.52015729455496,322.16103956416697,True,3.31831585045817e-09,True,0.0,2.5913142618864002,3.3591661357968463,8.348204964467747e-11,6,INTERIOR
3e-10,27.271198422436186,0.08439415657131064,0.10973435201118671,-0.025340195439876076,-0.1013607817595043,-0.016966625188193665,248.52015729455496,323.1408373563495,True,3.31831585045817e-09,True,0.0,2.3015297895503593,2.992587287454532,7.43718263395886e-11,6,LEFT
