frequency_Hz,trust_valid,Ex_spectrum_real_V_s_m,Ex_spectrum_imag_V_s_m,Ey_spectrum_real_V_s_m,Ey_spectrum_imag_V_s_m,Ez_spectrum_real_V_s_m,Ez_spectrum_imag_V_s_m,E_parallel_real_V_s_m,E_parallel_imag_V_s_m,H_rx_E_real_m,H_rx_E_imag_m,V_rx_real_V_s,V_rx_imag_V_s
0.000000000000000000e+00,0.000000000000000000e+00,4.635394791602017228e-10,0.000000000000000000e+00,-8.629503755135939812e-27,0.000000000000000000e+00,-1.780957725528769953e-09,0.000000000000000000e+00,-1.780957725528769953e-09,0.000000000000000000e+00,nan,nan,nan,nan
9.840152735499204397e+08,0.000000000000000000e+00,-3.565710100945685004e-10,-1.890159499646342211e-11,-3.990813115282748867e-27,1.226735812814612043e-26,1.037597332079435602e-09,5.526476795544772692e-10,1.037597332079435602e-09,5.526476795544772692e-10,nan,nan,nan,nan
1.968030547099840879e+09,0.000000000000000000e+00,1.726920162550346988e-10,-2.851031409275253171e-11,1.231696310158501522e-26,-1.260664385976080650e-26,-4.605618852845455099e-10,-1.620266142371474910e-10,-4.605618852845455099e-10,-1.620266142371474910e-10,nan,nan,nan,nan
2.952045820649761200e+09,0.000000000000000000e+00,-4.217539087198785995e-11,5.144878217955267896e-11,-1.945498669087870101e-26,1.071138377795566560e-26,2.587331776817169338e-10,-2.172900534808956323e-11,2.587331776817169338e-10,-2.172900534808956323e-11,nan,nan,nan,nan
3.936061094199681759e+09,1.000000000000000000e+00,-1.968423853101692803e-11,-2.636480940530156279e-11,1.360724171951015691e-26,-4.153770570024053113e-27,-1.312098924206541645e-10,5.560135740414364071e-11,-1.312098924206541645e-10,5.560135740414364071e-11,-2.059867337664809690e-05,-1.124350148219285255e-05,3.327903662143613578e-15,3.299444194437607020e-16
4.920076367749602318e+09,1.000000000000000000e+00,2.592649360269418843e-11,-9.020472018279425903e-12,-4.027518874677033350e-28,1.157046800094077295e-26,6.842596124514692134e-11,-3.463252483148466979e-11,6.842596124514692134e-11,-3.463252483148466979e-11,-2.865431943219723629e-05,-6.761177267408762400e-06,-2.194855990577192036e-15,5.297313755935841865e-16
5.904091641299522400e+09,1.000000000000000000e+00,-5.477667503507287999e-12,2.363629292253144437e-11,9.343255009620661228e-27,-1.297931061035856302e-26,-4.947589131118368532e-11,1.597758211537605274e-11,-4.947589131118368532e-11,1.597758211537605274e-11,-3.547240270928065146e-05,1.298517857748704722e-06,1.734281565290445140e-15,-6.310085555128255925e-16
6.888106914849443436e+09,1.000000000000000000e+00,-1.191753593066357741e-11,-1.551461363421263354e-11,6.711452072270168459e-27,3.052480066202532979e-27,4.443677827368981641e-11,-1.404416197158928890e-11,4.443677827368981641e-11,-1.404416197158928890e-11,-3.971692770832171342e-05,1.250907324021584488e-05,-1.589212859586794776e-15,1.113653879734390881e-15
7.872122188399363518e+09,1.000000000000000000e+00,1.362376016776004090e-11,7.028417422214905478e-13,-1.038985415393115972e-26,-2.035236111816125860e-26,-3.417564953323369141e-11,2.174344590372227021e-11,-3.417564953323369141e-11,2.174344590372227021e-11,-4.021654589380047555e-05,2.601208317604772894e-05,8.088342545222155397e-16,-1.763426128330346162e-15
8.856137461949283600e+09,1.000000000000000000e+00,-5.869458575330136243e-12,5.998378115231383355e-12,5.394817229554364291e-27,1.570746616824437792e-26,1.949635157827509756e-11,-2.445985971652505741e-11,1.949635157827509756e-11,-2.445985971652505741e-11,-3.607913085820112437e-05,4.055063976435278498e-05,2.884515402013285464e-16,1.673080009055554189e-15
9.840152735499204636e+09,1.000000000000000000e+00,-5.362860097513241117e-13,-3.548480839317616225e-12,-8.656684178521910712e-27,-1.263766734892652717e-26,-6.137655692649504918e-12,1.880838716929678151e-11,-6.137655692649504918e-12,1.880838716929678151e-11,-2.683500529313617513e-05,5.455231507888618804e-05,-8.613370399854615403e-16,-8.395464964345689424e-16
1.082416800904912567e+10,0.000000000000000000e+00,6.524071872232843925e-13,-5.017922409537666114e-14,2.629301473612571599e-27,6.002453774058963136e-27,2.379316220173982581e-13,-1.216272036624042622e-11,2.379316220173982581e-13,-1.216272036624042622e-11,nan,nan,nan,nan
1.180818328259904480e+10,0.000000000000000000e+00,1.824428125586182531e-12,3.628746932607962588e-13,-1.232635047845708287e-27,7.538476675302794418e-27,-2.214945085476369284e-13,6.673628923236652776e-12,-2.214945085476369284e-13,6.673628923236652776e-12,nan,nan,nan,nan
1.279219855614896584e+10,0.000000000000000000e+00,-1.767050099862247655e-12,1.683238083208286797e-12,1.332269269189736926e-26,4.603339527735094008e-27,-1.156750683150609706e-12,-4.777876516862291491e-12,-1.156750683150609706e-12,-4.777876516862291491e-12,nan,nan,nan,nan
1.377621382969888687e+10,0.000000000000000000e+00,-1.271755617722741090e-14,-2.304026199400666505e-12,-1.467956992805610013e-27,-2.719133058856178671e-26,1.171386717921853311e-12,3.515671966063300234e-12,1.171386717921853311e-12,3.515671966063300234e-12,nan,nan,nan,nan
1.476022910324880600e+10,0.000000000000000000e+00,9.719885827859158379e-13,8.722986725572582761e-13,-1.320406071893973262e-28,3.153142509066716113e-26,-1.592201559164579280e-12,-1.270153413627274253e-12,-1.592201559164579280e-12,-1.270153413627274253e-12,nan,nan,nan,nan
1.574424437679872704e+10,0.000000000000000000e+00,-5.069282329706836196e-14,-2.128184527715331495e-13,-7.768300390635217375e-27,-3.261285448851874518e-26,2.332606289280123547e-13,9.792740453626538722e-13,2.332606289280123547e-13,9.792740453626538722e-13,nan,nan,nan,nan
