time_s,V_rx_trusted_bandlimited_V,envelope_V
7.216370939056354859e-10,2.436540058999450151e-08,2.467211110398793850e-08
7.624338753239708883e-10,9.271221210635818970e-09,2.288334110049335868e-08
8.032306567423061872e-10,-1.378937714852157567e-08,1.871909837456079016e-08
8.440274381606414862e-10,-1.285604751436560238e-08,1.377421341757899090e-08
8.848242195789768885e-10,-3.189451948254156512e-09,1.028885395639882531e-08
9.256210009973122909e-10,4.486312135667615082e-09,9.607368313123954500e-09
9.664177824156474865e-10,9.803976361357187707e-09,9.880766144836447454e-09
1.007214563833982889e-09,5.451097885819757817e-09,9.039859653133923614e-09
1.048011345252318291e-09,-1.974017032560023057e-09,7.108123274479390582e-09
1.088808126670653694e-09,-5.049774163997057021e-09,6.427922837308495842e-09
1.129604908088989096e-09,-8.721647160675109383e-09,8.772658588295343614e-09
1.170401689507324291e-09,-3.817890415825646424e-09,1.163714032659779934e-08
1.211198470925659694e-09,1.055803031581581313e-08,1.285357287224701015e-08
1.251995252343995096e-09,8.134711584498419032e-09,1.155444207076511847e-08
1.292792033762330292e-09,-5.362660040032490766e-09,7.857531044744258356e-09
1.333588815180665694e-09,-8.228537051869874543e-10,3.582389216885562333e-09
1.374385596599001096e-09,3.462873372748344369e-09,6.112507780851087429e-09
1.415182378017336499e-09,-9.886074371101681524e-09,1.118563558797873605e-08
1.455979159435671901e-09,-7.792407664867909408e-09,1.439536087757904790e-08
1.496775940854007097e-09,1.097713087046618624e-08,1.455829966439269364e-08
1.537572722272342499e-09,9.004567971934593796e-09,1.137924161076918494e-08
1.578369503690677901e-09,-1.507734652614554504e-09,5.459571468262144126e-09
1.619166285109013097e-09,1.497027977537643838e-09,3.723078491357113897e-09
1.659963066527348499e-09,-6.019340176019099411e-09,1.158273689771350146e-08
1.700759847945683902e-09,-1.786231559447681190e-08,1.865058474822284732e-08
1.741556629364019304e-09,1.639241312022833235e-09,2.326636669629674295e-08
