x_m,y_m,z_m,lsf_m,inside_conductor
-2.9e-05,0.0,8.49e-05,1.8698498003109504e-05,0
-2.9e-05,0.0,8.605e-05,1.825118016051308e-05,0
-2.9e-05,0.0,8.72e-05,1.7803862317916663e-05,0
-2.9e-05,0.0,8.835e-05,1.7356544475320252e-05,0
-2.9e-05,0.0,8.950000000000001e-05,1.690922663272383e-05,0
-2.9e-05,0.0,9.065000000000001e-05,1.646190879012741e-05,0
-2.9e-05,0.0,9.180000000000001e-05,1.6014590947530994e-05,0
-2.9e-05,0.0,9.295000000000001e-05,1.556727310493457e-05,0
-2.9e-05,0.0,9.410000000000001e-05,1.511995526233816e-05,0
-2.9e-05,0.0,9.525000000000001e-05,1.4672637419741743e-05,0
-2.9e-05,0.0,9.640000000000001e-05,1.4225319577145327e-05,0
-2.9e-05,0.0,9.755e-05,1.3778001734548907e-05,0
-2.9e-05,0.0,9.87e-05,1.3330683891952493e-05,0
-2.9e-05,0.0,9.985e-05,1.2883366049356076e-05,0
-2.9e-05,0.0,0.000101,1.2436048206759655e-05,0
-2.9e-05,0.0,0.00010215,1.198873036416324e-05,0
-2.9e-05,0.0,0.0001033,1.1541412521566823e-05,0
-2.9e-05,0.0,0.00010445,1.10940946789704e-05,0
-2.9e-05,0.0,0.00010559999999999999,1.064677683637399e-05,0
-2.9e-05,0.0,0.00010674999999999999,1.0199458993777575e-05,0
-2.9e-05,0.0,0.0001079,9.752141151181158e-06,0
-2.9e-05,0.0,0.00010905,9.304823308584735e-06,0
-2.9e-05,0.0,0.0001102,8.857505465988323e-06,0
-2.9e-05,0.0,0.00011135,8.410187623391906e-06,0
-2.9e-05,0.0,0.0001125,7.962869780795484e-06,0
-2.9e-05,0.0,0.00011365,7.546207849269799e-06,0
-2.9e-05,0.0,0.0001148,7.2391405889361604e-06,0
-2.9e-05,0.0,0.00011595,7.054973893551388e-06,0
-2.9e-05,0.0,0.0001171,7.0004999875006255e-06,0
-2.9e-05,0.0,0.00011825,7.077822185373189e-06,0
-2.9e-05,0.0,0.0001194,7.283968105745956e-06,0
-2.9e-05,0.0,0.00012055,7.611432514038815e-06,0
-2.9e-05,0.0,0.0001217,8.049434374663717e-06,0
-2.9e-05,0.0,0.00012285,8.585443452885186e-06,0
-2.9e-05,0.0,0.000124,9.206555615733714e-06,0
-2.8e-05,0.0,5.5e-05,2.9756678708318396e-05,0
-2.8e-05,0.0,5.615e-05,2.9174873737125994e-05,0
-2.8e-05,0.0,5.7300000000000004e-05,2.862419959461425e-05,0
-2.8e-05,0.0,5.8450000000000005e-05,2.8106309649329992e-05,0
-2.8e-05,0.0,5.96e-05,2.762286727267713e-05,0
-2.8e-05,0.0,6.075e-05,2.7170923136222885e-05,0
-2.8e-05,0.0,6.19e-05,2.6723605293626468e-05,0
-2.8e-05,0.0,6.305e-05,2.6276287451030044e-05,0
