r_m,T_K,p_Pa,rho_kg_m3,u_m_s,sigma_S_m
1.6666666666666667e-06,7870.204792238168,134965.04494154677,0.03260691489623077,-11.24882707784888,801.0438244178481
4.9999999999999996e-06,7831.513381787315,136576.33903641108,0.03336020751783127,-12.376847932224985,767.2120400514389
8.333333333333334e-06,7758.5160892152235,139443.3458315217,0.03479433921593989,-13.961019052572485,706.6838642213582
1.1666666666666666e-05,7655.644868272008,143053.9171765407,0.03683175814963785,-16.18430896955507,628.7437621777408
1.5e-05,7527.8145244332645,146958.25283599194,0.039419847563929765,-18.767244922237992,543.3161224626316
1.8333333333333333e-05,7379.2029475686995,150707.94957921328,0.042502729838790804,-20.066619232752604,458.69641333735933
2.1666666666666667e-05,7212.529890330552,153922.66251221474,0.04602732888351248,-18.000677662164968,380.2052493849084
2.4999999999999998e-05,7028.651507919602,156371.03130501127,0.04996235495926094,-10.831091668253299,310.1349247753887
2.8333333333333335e-05,6826.1925524807,158047.58195623386,0.054333561329303934,2.5994658387916987,248.54708970142357
3.1666666666666666e-05,6600.905263491632,159178.31052909428,0.05925673893856265,22.971630139605075,194.29731139892556
3.5e-05,6344.447466474018,160135.71961634356,0.06495569389487835,50.40688322480889,145.88354771308445
3.8333333333333334e-05,6037.89953352857,161382.7749901746,0.07190660895386915,85.23020563688306,101.54792282163237
4.1666666666666665e-05,5638.055966721193,163207.89827786622,0.08108011615618595,128.53284304324814,60.00283926471219
4.4999999999999996e-05,5051.405139582607,163258.49148290814,0.09356427232172738,166.45399524262132,23.489385923828568
4.8333333333333334e-05,4336.333828487812,158540.9453461684,0.10897178622675799,169.93798040774922,4.9135957489238375
5.166666666666667e-05,3797.5688456541575,152162.5577351201,0.1253747992269319,137.4591561140137,0.9273020396267768
5.4999999999999995e-05,3417.0773563849266,147216.10717458196,0.1414548807996619,99.36266797090043,0.19285823717090775
5.833333333333333e-05,3058.760298525464,142991.8719426692,0.1584309670733846,79.23385794457668,0.028481230071482302
6.166666666666667e-05,2665.8529227260656,138540.8679068263,0.17880432275368843,73.41258792196008,0.001743494827322359
6.500000000000001e-05,2259.0449034156477,132871.72547858537,0.20338810655709272,67.31556956728106,3.0486725681867603e-05
6.833333333333333e-05,1895.2982424543402,126821.35470643632,0.23170135345378493,55.17686445166788,1.690429833298678e-07
7.166666666666666e-05,1594.6685680225085,121418.41199519981,0.26375691366716575,41.01168494813542,3.7802133041534986e-10
7.500000000000001e-05,1349.4783593467516,117024.14599490842,0.300443124742607,29.074481193916288,3.8358311631951435e-13
7.833333333333333e-05,1148.3682177429669,113610.6215800078,0.3427816081379007,20.46012282325226,1.881645408997164e-16
8.166666666666665e-05,982.4827936029326,110969.10599525903,0.3913544523978106,14.528048765687487,4.856758899218686e-20
8.5e-05,845.5485020402472,108889.07774323577,0.4462172570057381,10.397925149222527,7.631830087352041e-24
8.833333333333333e-05,732.9427437737879,107227.95875535489,0.5069241929220863,7.4581886250286695,9.043428844494235e-28
9.166666666666667e-05,640.9459549885644,105898.1861015666,0.5724993423636134,5.343222778124186,1.0497295299804426e-31
9.5e-05,566.3676751533176,104839.892616046,0.6414132093075577,3.8221131369115273,1.572485082522994e-35
9.833333333333333e-05,506.40894125166477,104005.39459825416,0.711648621796747,2.733101656962748,3.925404871072412e-39
0.00010166666666666667,458.615853672501,103353.78637836938,0.7808891285433446,1.956668404894215,2.0099937006717515e-42
0.000105,420.8549197612883,102849.70029638374,0.8468048694606412,1.404103200836609,2.433254589808601e-45
0.00010833333333333333,391.28958340678196,102463.06210228475,0.9073654992556545,1.010544569116399,7.470090393990921e-48
0.00011166666666666667,368.3549104542409,102168.83017885535,0.9610932737625671,0.7294008029907671,5.834575829981338e-50
0.000115,350.7312614513771,101946.55226166849,1.0071911796930473,0.5276795721955249,1.102126382401598e-51
0.00011833333333333333,337.3179050346755,101779.79634515595,1.0455293493583124,0.3822320667035647,4.612674358679325e-53
0.00012166666666666668,327.20714946269646,101655.53876226438,1.076520867240824,0.27687718960104596,3.8413735801727497e-54
0.000125,319.6593636644073,101563.57212775569,1.1009429980309033,0.20028915248385357,5.684715308368209e-55
