r_m,T_K,p_Pa,rho_kg_m3,u_m_s,sigma_S_m
1.6666666666666667e-06,8665.13073415968,159529.9561411475,0.032795053880244396,51.88823705081058,1523.048985995771
4.9999999999999996e-06,8595.940482140868,161316.19624176202,0.033587419371335456,74.74975058949008,1445.262994251261
8.333333333333334e-06,8455.0689656514,161377.16495879972,0.03450334587359955,99.07261598100024,1296.7323372695985
1.1666666666666666e-05,8261.372106695992,161153.62704833355,0.03585245206078629,110.54831305538434,1101.8012805430349
1.5e-05,8035.026552275005,161221.1737135075,0.03779173596560774,105.9259284457461,892.4961534286479
1.8333333333333333e-05,7792.1108008881165,161826.5235831778,0.04044409179964758,86.70765973526441,697.5519619194082
2.1666666666666667e-05,7540.831301679261,162936.20993719343,0.043908008426901284,59.10757397337643,533.0581646457885
2.4999999999999998e-05,7282.259398035724,164351.41163155923,0.048262918829246736,33.04387197199004,402.03400875137544
2.8333333333333335e-05,7012.816787060923,165863.43593719898,0.05357234843501643,19.172907625542976,299.87758975520967
3.1666666666666666e-05,6725.502011569228,167277.38515707073,0.05985726664970423,24.158195407905993,219.6421045269461
3.5e-05,6408.185500138042,168240.4998316438,0.0670461766019148,46.783979151285195,154.8379885466241
3.8333333333333334e-05,6036.578964086219,168176.3373225573,0.07508527292826915,79.55218547629144,100.33205028951745
4.1666666666666665e-05,5553.5320148878145,166101.23899420133,0.08433375370209313,112.40915313268428,52.913648044330046
4.4999999999999996e-05,4857.030424981042,158839.33728106334,0.09534395313430143,122.77748031199418,16.341327468388396
4.8333333333333334e-05,4138.286393090511,148276.32584763208,0.10809635198368411,97.08583412896802,2.8901246022825267
5.166666666666667e-05,3656.4628361868727,140854.23767088915,0.12249449265882027,58.55805673290084,0.5581549880107433
5.4999999999999995e-05,3293.7259215175463,137490.73891686232,0.13872248244391155,37.72355558778384,0.10851590816104799
5.833333333333333e-05,2930.3647845812147,134947.14827142548,0.15707387867483152,35.592771946818466,0.012873217205281524
6.166666666666667e-05,2536.49709862359,130825.81552542625,0.17785377144234357,36.05475807068819,0.0005758676369598018
6.500000000000001e-05,2155.375617218658,125453.20934208448,0.2013787930151501,31.089521221615595,8.583774268235913e-06
6.833333333333333e-05,1828.4680919296952,120561.34999386838,0.228343326080525,23.368643274607905,5.306597918246865e-08
7.166666666666666e-05,1556.7664886790358,116724.99225699824,0.259742782337009,16.772766865472363,1.5219835388777227e-10
7.500000000000001e-05,1329.1031499751819,113738.62887733849,0.2964871323223883,12.099478172628483,1.98062649723898e-13
7.833333333333333e-05,1137.2065437490076,111335.63035616485,0.33921565099478695,8.818951260020086,1.1656909443287217e-16
8.166666666666665e-05,975.8574135131252,109356.25441784071,0.3882853116615584,6.43838340513586,3.3603531836580507e-20
8.5e-05,841.1609756059094,107717.3693349654,0.4437184344420535,4.680754860233496,5.598608714968615e-24
8.833333333333333e-05,729.7071871716994,106368.04432233599,0.5050888084176249,3.384438755010624,6.806315391948325e-28
9.166666666666667e-05,638.3408503108119,105267.98612382951,0.5714150394861078,2.4366669796156857,7.946480510714276e-32
9.5e-05,564.1424127926904,104380.85409158032,0.6411238911812831,1.7502740192028932,1.185220197408594e-35
