T_K,molar_mass_kg_mol,rho_kg_m3,h_J_kg,e_J_kg,cp_J_kgK,k_W_mK,sigma_S_m,valid,status
300,0.0288103644589872,1.1703342768993354,304745.7415080816,218167.9132755797,1027.4088240065496,0.026110868163641502,3.0965137123838684e-57,True,VALID
1000,0.028808928261810852,0.35108278071449794,1055895.8446728347,767288.6968264186,1121.799716913999,0.07175808355047861,1.3805155795716656e-19,True,VALID
3000,0.02818809820344917,0.11450565845865336,4110311.192557249,3225420.4250272997,2740.8664414699456,0.47801691854523853,0.023542574292292184,True,VALID
5000,0.023973419117926394,0.05843087650235731,10228051.29822718,8493951.006305113,2896.850892023572,0.7562260289443112,24.719279303938258,True,VALID
10000,0.014060731945629752,0.01713524649542993,48784760.56932776,42871510.355680466,4888.09220245129,1.3618279307326344,2991.455984262514,True,VALID
15000,0.009393042398594759,0.007631281096143859,118454075.81656079,105176488.64299956,22296.89419884469,3.4799490128156076,7332.131335689157,True,VALID
30000,0.0058632604158735495,0.002381772937601045,334057957.9231452,291516119.2783347,31110.626940165315,5.515684533303409,12060.415352558131,True,VALID
