r_m,T_K,p_Pa,rho_kg_m3,u_m_s,sigma_S_m
1.6666666666666667e-06,9989.22820765951,202537.4791898041,0.034624871235957644,0.0,2888.438135008073
4.9999999999999996e-06,9903.48338736693,201641.79940463445,0.03484020377855271,0.0,2798.57488690636
8.333333333333334e-06,9734.263428028578,199874.148643814,0.03528042980668431,0.0,2620.146320428528
1.1666666666666666e-05,9486.007855514978,197280.9016453665,0.0359740410425698,0.0,2355.4694255633713
1.5e-05,9165.132497130913,193929.0773476072,0.036991819901402344,0.0,2008.3946515781604
1.8333333333333333e-05,8779.754009461922,189903.46134110613,0.03849582572205978,0.0,1589.6604559565822
2.1666666666666667e-05,8339.348983665632,185303.04492473401,0.040830277955364556,0.0,1134.2290431474773
2.4999999999999998e-05,7854.367595792627,180236.9893447101,0.04462885705530147,0.0,718.396184194235
2.8333333333333335e-05,7335.823732979197,174820.34430351722,0.05069126980414975,0.0,418.0089310466626
3.1666666666666666e-05,6794.883898208137,169169.75370989068,0.05913088694374911,0.0,236.00467612414676
3.5e-05,6242.476023588836,163399.36939073596,0.0685192510283988,0.0,129.13553771039395
3.8333333333333334e-05,5688.936780827316,157617.1669399307,0.07721489455414385,0.0,65.00940326097283
4.1666666666666665e-05,5143.71234941298,151921.81997982165,0.0850879135074847,0.0,28.301828494269692
4.4999999999999996e-05,4615.12324236253,146400.24356003953,0.09321314962914579,0.0,10.026322703357582
4.8333333333333334e-05,4110.199085040382,141125.86827749657,0.10370082081165692,0.0,2.7092513873700725
5.166666666666667e-05,3634.584579469192,136157.65799120782,0.11935094574679682,0.0,0.518713524248188
5.4999999999999995e-05,3192.513610469908,131539.83933823335,0.13812896925664608,0.0,0.06465274306935229
5.833333333333333e-05,2786.8448398582,127302.27354625074,0.15662409375720987,0.0,0.004771753561400218
6.166666666666667e-05,2419.149384407837,123461.37230671382,0.1762343819532014,0.0,0.00018855052400762026
6.500000000000001e-05,2089.8393827319956,120021.44076858964,0.198754671800837,0.0,3.61105207548241e-06
6.833333333333333e-05,1798.3254348541539,116976.32213263887,0.22527780790521099,0.0,3.071835272944213e-08
7.166666666666666e-05,1543.1909749398696,114311.21912740024,0.25661192613896827,0.0,1.0920110848011516e-10
7.500000000000001e-05,1322.372478250084,112004.5764287309,0.293453852433432,0.0,1.5918644225934954e-13
7.833333333333333e-05,1133.335831552784,110029.92300330782,0.3363827777454132,0.0,9.886517197425391e-17
8.166666666666665e-05,973.2410155535028,108357.59236092358,0.3857739467582547,0.0,2.909062443245989e-20
8.5e-05,839.089262331386,106956.25974285853,0.44167115960273423,0.0,4.839530198824025e-24
8.833333333333333e-05,727.8488818224598,105794.25648975885,0.5036469017693674,0.0,5.780068034267568e-28
9.166666666666667e-05,636.5578507677183,104840.64167309682,0.5706894642655689,0.0,6.56177146377142e-32
9.5e-05,562.402914603599,104066.02838373295,0.6411672642742259,0.0,9.488314350809844e-36
