radial_cells,sample,time_s,T_axis_K,channel_radius_m,Rsp_ohm,total_energy_J
100,mid,5e-09,8490.646162040915,7.877656758407863e-05,477.0180957820208,0.00020826588544544636
100,final,1e-08,7718.382418448249,8.057116411643938e-05,692.6150641878935,0.00020827736487200965
150,mid,5e-09,8665.13073415968,7.834765983000189e-05,437.90391471549594,0.00020826110241107715
150,final,1e-08,7870.204792238168,8.016889220361392e-05,620.1303486974772,0.00020827145299770567
225,mid,5e-09,8786.785178237122,7.816536987761833e-05,412.1602477037745,0.0002082589306380936
225,final,1e-08,7980.877465788434,7.991660126684032e-05,572.4878907023226,0.00020826855089243487
