G_length_S_m,Rsp_ohm,Ez_V_m,PJ_volume_W,PJ_circuit_W,joule_closure_relative,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg
4.147894813072713e-06,241.08615214839827,12054.307607419913,0.6027153803709956,0.6027153803709958,3.6840706601572674e-16,0.0,0,0,9989.22820765951,9989.22820765951,300.0,202537.4791898041,101325.0,0.034624871235957644,0.034624871235957644,2888.438135008073,2888.438135008073,7.594249198798159e-05,0.0,0.00020825416216199174,0.0,0.00020825416216199174,0.0,0.0,0.0,0.0,0.0,-1.0339757656912846e-25
4.088443719189813e-06,244.59184684537254,12235.65963955108,0.6120864973458608,0.6120864973458606,3.6276671007752114e-16,1.0028330041064406e-10,1,0,9965.540496631073,9965.540496631073,300.0,202050.4251938882,101325.0,0.034642221275003826,0.034642221275003826,2863.8700770088954,2863.8700770088954,7.598503394300001e-05,3.568912978196196,0.00020825422074798971,1.8562894995773928e-12,0.00020825422260427922,6.044228755186016e-11,0.0,0.0,0.0,-6.498301165413322e-20,-1.0339757656912846e-25
4.030255088089993e-06,248.12325228622618,12430.759687171654,0.6227702763703853,0.6227702763703854,1.7827167845834445e-16,2.0057441784916053e-10,2,0,9941.881145453981,9941.881145453981,300.0,201551.3364736754,101325.0,0.03465744043474969,0.03465744043474969,2839.326865106912,2839.326865106912,7.602756037747627e-05,7.203855938995327,0.00020825427665708822,7.334029828661802e-12,0.00020825428399111806,1.2182912633970406e-10,0.0,-7.030639013388662e-27,0.0,-1.6921589122848015e-20,-2.3070507822673598e-32
3.973283924086035e-06,251.68098205567517,12640.097177720942,0.6348197442541971,0.6348197442541972,1.7488791655802634e-16,3.008722664085922e-10,3,0,9918.229371396088,9918.229371396088,300.0,201039.75826924143,101325.0,0.034670529534374876,0.034670529534374876,2814.7871087323224,2814.7871087323224,7.60701075826758e-05,10.856969274955519,0.00020825433013435952,1.6319277423960645e-11,0.00020825434645363694,1.8429164520641639e-10,0.0,-2.10934088456265e-26,0.0,-2.4744284982846587e-21,-6.92164187143108e-32
3.917490930131276e-06,255.2654282639245,12864.10382868634,0.648286642028641,0.6482866420286411,1.712549592493543e-16,4.011756489138357e-10,4,0,9894.560044723365,9894.560044723365,300.0,200515.11595561085,101325.0,0.034681487465453666,0.034681487465453666,2790.224892042312,2790.224892042312,7.611271949085347e-05,14.489740311906676,0.0002082543814069517,2.8721252817439518e-11,0.0002082544101282045,2.47966212836226e-10,0.0,-4.2189473478842287e-26,0.0,-6.054480334225636e-20,-1.0339771501068066e-25
3.862841210056192e-06,258.8768074122967,13103.152797148627,0.6632213018294062,0.6632213018294062,0.0,5.01483262246681e-10,5,0,9870.845171443734,9870.845171443734,300.0,199976.74139282643,101325.0,0.034690309389795816,0.034690309389795816,2765.6113068839472,2765.6113068839472,7.615544505461228e-05,18.21384289096872,0.00020825443069092157,4.44653688131343e-11,0.00020825447515629037,3.129942986536836e-10,0.0,-7.031963150679056e-26,0.0,-1.597665026078696e-20,-1.0339780731765725e-25
3.809303367916268e-06,262.5151906835426,13357.55712342049,0.6796724099693298,0.6796724099693296,1.6334678417728554e-16,6.017937026254921e-10,6,0,9847.054953685474,9847.054953685474,300.0,199423.89148008917,101325.0,0.034696985370905514,0.034696985370905514,2740.9155517572945,2740.9155517572945,7.619833637184641e-05,22.09035694260232,0.00020825447819626796,6.34880432750602e-11,0.00020825454168431123,3.795223195087998e-10,0.0,-1.0548428079785275e-25,0.0,-1.2980999138287177e-20,-3.461386540656726e-31
3.7568488589888514e-06,266.1805245657788,13627.56780592919,0.697686671886112,0.6976866718861121,1.591291720714403e-16,7.021054698844586e-10,7,0,9823.158685369248,9823.158685369248,300.0,198855.765185376,101325.0,0.034701499428215266,0.034701499428215266,2716.105862365876,2716.105862365876,7.624144710187193e-05,25.979567088495468,0.00020825452413065023,8.573280154387821e-11,0.0002082546098634518,4.477014601099841e-10,0.0,-1.476833849657007e-25,0.0,-5.827398786198007e-20,-1.033980611809371e-25
3.7054515062335867e-06,269.8726452951079,13913.371715863266,0.7173083892667247,0.7173083892667246,1.547762498302986e-16,8.024169706413625e-10,8,0,9799.125592305025,9799.125592305025,300.0,198271.521731447,101325.0,0.03470382901734069,0.03470382901734069,2691.1503863630655,2691.1503863630655,7.628483098042201e-05,29.857530351927014,0.00020825456870211752,1.111473314337157e-10,0.00020825467984944896,5.176874572249696e-10,0.0,-1.9691644110569099e-25,0.0,-5.338510397128639e-21,-1.0339822273547071e-25
3.655087131388517e-06,273.59128908648313,14215.089480099015,0.7385789569614079,0.7385789569614079,0.0,9.027265205334145e-10,9,0,9774.925645883106,9774.925645883106,300.0,197670.30060534552,101325.0,0.03470394493351519,0.03470394493351519,2666.0180324480993,2666.0180324480993,7.632854038220805e-05,33.70268411247142,0.00020825461212107467,1.396812559491959e-10,0.00020825475180233062,5.896403388861075e-10,0.0,-2.5318244835571786e-25,0.0,1.767224991424326e-21,-1.0339840736809912e-25
