case,spacing_m,domain_scale,actual_FDTD_cells,actual_timesteps,S11_min_frequency_Hz,S11_min_dB,S21_at_1GHz_dB,S21_phase_at_1GHz_rad,group_delay_at_1GHz_s,Dmax_at_1GHz,runtime_s,peak_RSS_KiB,raw_bytes
baseline,0.005,1.0,1128743,1872,894000000.0,-14.720305901379414,-20.820861674680287,-6.047643428746114,2.146799288351123e-09,1.387172180683544,21.980240272000174,303892,2573547
fine,0.00375,1.0,2352153,2106,906000000.0,-14.580953566143203,-20.657769586050627,-5.998613780245228,2.2606382017063446e-09,1.3863105248699115,49.156934646999616,479152,4321532
expanded_domain,0.005,1.3333333333333333,2352153,1701,894000000.0,-14.701442907747474,-20.82165817319467,-6.042564056053617,2.146310936008793e-09,1.394164708310408,40.528043746000094,479244,4310557
