step,time_s,dt_s,topology,topology_confidence,topology_evidence,topology_status,head_count,head_position_m,head_velocity_m_s,bridge_status,roi_definition,roi_status,roi_cell_count,roi_volume_m3,roi_centroid_r_m,roi_centroid_z_m,roi_r_min_m,roi_r_max_m,roi_z_min_m,roi_z_max_m,electrode_distance_m,Ek_V_m,gas,pressure_Pa,temperature_K,Ek_semantics,E0_source,E0_max_V_m,E0_mean_V_m,E0_p95_V_m,eta_0_max,eta_0_mean,eta_0_p95,E_peak_V_m,E_peak_time_s,E_peak_r_m,E_peak_z_m,eta_peak,ne_at_E_peak_m3,ne_peak_m3,nu_i_at_E_peak_s_1,mu_e_at_E_peak_m2_V_s,tau_i_at_E_peak_s,tau_i_at_ne_peak_s,tau_i_min_s,tau_i_median_s,tau_i_p95_s,sigma_e_at_E_peak_S_m,sigma_e_at_ne_peak_S_m,sigma_e_peak_S_m,sigma_e_median_S_m,sigma_e_p95_S_m,tau_M_at_E_peak_s,tau_M_at_ne_peak_s,tau_M_min_s,tau_M_median_s,tau_M_p95_s,Pi_RF_at_E_peak,Pi_RF_at_ne_peak,Pi_RF_min,Pi_RF_median,Pi_RF_p95,N_tau_i_at_E_peak,N_tau_M_at_E_peak,tau_i_resolution_status,tau_M_resolution_status,current_moment_r_A_m,current_moment_z_A_m
11,1.1000000000000004e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3000543160108538e-05,701549.35916002875,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.144187622,1.1000000000000004e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686931892318,2790006459272353,2790006459272353,165445995653.38702,0.033425103365581375,6.044268379242142e-12,6.044268379242142e-12,6.044268379242142e-12,1.1868172291308821e-11,1.7109685812168834e-11,1.4941299160071317e-05,1.4941299160071317e-05,1.4941299160071317e-05,1.0282803783671875e-05,1.4475449622431371e-05,5.9259825520806578e-07,5.9259825520806578e-07,5.9259825520806578e-07,1.083434822487978e-06,1.525187733039899e-06,98043.008355358383,98043.008355358383,88981.721063779507,93512.364709568938,97589.943990779444,6044.2683792421412,592598255.20806575,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9543488187218806e-15,-2.002719754322499e-13
12,1.2000000000000004e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3001244411209061e-05,701251.10052273131,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.137219939,1.2000000000000004e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686905430481,2790368111973653,2790368111973653,165445995565.84018,0.033425103366570973,6.0442683824405061e-12,6.0442683824405061e-12,6.0442683824405061e-12,1.1868172292926522e-11,1.7109685812363939e-11,1.4943235916317366e-05,1.4943235916317366e-05,1.4943235916317366e-05,1.0283270254779023e-05,1.4477239350163531e-05,5.9252144999809654e-07,5.9252144999809654e-07,5.9252144999809654e-07,1.0835369311859675e-06,1.5254508642550515e-06,98030.301189050282,98030.301189050282,88997.605157846367,93513.953173448332,97578.666387490084,6044.2683824405058,592521449.99809647,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9547091284100251e-15,-2.0033640154736084e-13
13,1.3000000000000005e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3001945364245845e-05,700953.03678432677,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.130251803,1.3000000000000005e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686878966903,2790729654300770.5,2790729654300770.5,165445995478.2876,0.033425103367560625,6.0442683856390802e-12,6.0442683856390802e-12,6.0442683856390802e-12,1.1868172294540522e-11,1.7109685812551822e-11,1.4945172081477584e-05,1.4945172081477584e-05,1.4945172081477584e-05,1.0283736442179181e-05,1.4479028517547744e-05,5.9244468812597396e-07,5.9244468812597396e-07,5.9244468812597396e-07,1.0836391084117792e-06,1.5257140866690041e-06,98017.601192825401,98017.601192825401,89013.49454911366,93515.547870969531,97567.395860639808,6044.2683856390795,592444688.12597394,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9550693660974776e-15,-2.0040083565332871e-13
14,1.4000000000000005e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3002646019411296e-05,700655.16545115039,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.123283073,1.4000000000000005e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686852501069,2791091086226372.5,2791091086226372.5,165445995390.72754,0.033425103368550368,6.0442683888379282e-12,6.0442683888379282e-12,6.0442683888379282e-12,1.1868172296150914e-11,1.7109685812732603e-11,1.4947107655405606e-05,1.4947107655405606e-05,1.4947107655405606e-05,1.0284202345824842e-05,1.4480817124447529e-05,5.9236796957155072e-07,5.9236796957155072e-07,5.9236796957155072e-07,1.0837413541714721e-06,1.5259774003114011e-06,98004.908363349401,98004.908363349401,89029.389239404496,93517.148801376956,97556.132407152152,6044.2683888379279,592367969.57155073,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9554295317583686e-15,-2.0046527774851956e-13
15,1.5000000000000006e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3003346376896437e-05,700357.48514084425,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.11631377,1.5000000000000006e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686826033068,2791452407723132,2791452407723132,165445995303.16025,0.033425103369540181,6.0442683920370395e-12,6.0442683920370395e-12,6.0442683920370395e-12,1.1868172297757599e-11,1.7109685812906104e-11,1.4949042637955084e-05,1.4949042637955084e-05,1.4949042637955084e-05,1.02846679656685e-05,1.4482605170726426e-05,5.9229129431469646e-07,5.9229129431469646e-07,5.9229129431469646e-07,1.0838436684711209e-06,1.5262408052119029e-06,97992.222697291974,97992.222697291974,89045.28923054444,93518.7559639182,97544.876023954595,6044.2683920370391,592291294.31469643,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9557896253668111e-15,-2.0052972783129754e-13
16,1.6000000000000004e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.300404643689023e-05,700059.99379342538,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.10934395,1.6000000000000004e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686799563095,2791813618763729.5,2791813618763729.5,165445995215.58649,0.03342510337053007,6.0442683952363876e-12,6.0442683952363876e-12,6.0442683952363876e-12,1.1868172299360641e-11,1.7109685813072471e-11,1.4950977028979711e-05,1.4950977028979711e-05,1.4950977028979711e-05,1.0285133301662666e-05,1.4484392656248006e-05,5.9221466233529688e-07,5.9221466233529688e-07,5.9221466233529688e-07,1.0839460513168134e-06,1.5265043014001785e-06,97979.544191325695,97979.544191325695,89061.194524357823,93520.369357841759,97533.626707977295,6044.2683952363868,592214662.33529687,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9561496468970477e-15,-2.0059418590002514e-13
17,1.7000000000000003e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3004746199581558e-05,699762.69132757629,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.102373604,1.7000000000000003e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686773091133,2792174719320851,2792174719320851,165445995128.00607,0.033425103371520042,6.0442683984359787e-12,6.0442683984359787e-12,6.0442683984359787e-12,1.1868172300960058e-11,1.7109685813231729e-11,1.4952910828333222e-05,1.4952910828333222e-05,1.4952910828333222e-05,1.0285598353759864e-05,1.4486179580875886e-05,5.9213807361325403e-07,5.9213807361325403e-07,5.9213807361325403e-07,1.0840485027146553e-06,1.5267678889059167e-06,97966.872842125333,97966.872842125333,89077.105122670691,93521.988982398005,97522.384456152606,6044.2683984359783,592138073.61325395,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9565095963232656e-15,-2.0065865195306241e-13
18,1.8000000000000002e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3005445665157878e-05,699465.57632028288,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.095402732,1.8000000000000002e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686746617181,2792535709367190.5,2792535709367190.5,165445995040.41913,0.033425103372510083,6.0442684016358082e-12,6.0442684016358082e-12,6.0442684016358082e-12,1.1868172302555796e-11,1.7109685813383781e-11,1.4954844035869374e-05,1.4954844035869374e-05,1.4954844035869374e-05,1.028606312191262e-05,1.4487965944473698e-05,5.9206152812848633e-07,5.9206152812848633e-07,5.9206152812848633e-07,1.084151022670766e-06,1.5270315677588176e-06,97954.208646368526,97954.208646368526,89093.021027310402,93523.614836839464,97511.149265415617,6044.268401635808,592061528.12848628,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.956869473619726e-15,-2.0072312598876693e-13
19,1.9000000000000001e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3006144833806596e-05,699168.64871733496,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.088431288,1.9000000000000001e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686720141044,2792896588875447.5,2792896588875447.5,165445994952.82501,0.033425103373500208,6.0442684048359002e-12,6.0442684048359002e-12,6.0442684048359002e-12,1.1868172304147847e-11,1.7109685813528599e-11,1.4956776651441972e-05,1.4956776651441972e-05,1.4956776651441972e-05,1.0286527606073488e-05,1.4489751746905124e-05,5.9198502586092799e-07,5.9198502586092799e-07,5.9198502586092799e-07,1.0842536111912803e-06,1.527295337988597e-06,97941.551600735082,97941.551600735082,89108.942240104836,93525.246920419959,97499.921132703574,6044.2684048358997,591985025.86092794,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9572292787607159e-15,-2.0078760800549418e-13
20,2e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3006843705714315e-05,698871.90771913354,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.081459284,2e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686693662775,2793257357818328.5,2793257357818328.5,165445994865.22382,0.033425103374490416,6.0442684080362506e-12,6.0442684080362506e-12,6.0442684080362506e-12,1.186817230573627e-11,1.7109685813666286e-11,1.4958708674904854e-05,1.4958708674904854e-05,1.4958708674904854e-05,1.0286991806195016e-05,1.449153698803387e-05,5.9190856679052997e-07,5.9190856679052997e-07,5.9190856679052997e-07,1.0843562682823478e-06,1.5275591996249836e-06,97928.901701908006,97928.901701908006,89124.868762881917,93526.885232394969,97488.700054956702,6044.2684080362505,591908566.79052997,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9575890117205669e-15,-2.0085209800159773e-13
21,2.0999999999999999e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.300754228106718e-05,698575.35286489245,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.074486751,2.0999999999999999e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.49136866671825,2793618016168547,2793618016168547,165445994777.61594,0.033425103375480686,6.0442684112368451e-12,6.0442684112368451e-12,6.0442684112368451e-12,1.1868172307321025e-11,1.7109685813796787e-11,1.4960640106111883e-05,1.4960640106111883e-05,1.4960640106111883e-05,1.0287455722229767e-05,1.4493321667723672e-05,5.918321508972595e-07,5.918321508972595e-07,5.918321508972595e-07,1.084458993950134e-06,1.5278231526977207e-06,97916.258946573202,97916.258946573202,89140.800597471156,93528.529772022186,97477.486029118096,6044.2684112368443,591832150.89725947,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9579486724736316e-15,-2.0091659597542894e-13
22,2.1999999999999998e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3008240560051361e-05,698278.98418171704,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.067513715,2.1999999999999998e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686640700323,2793978563898822.5,2793978563898822.5,165445994690.00174,0.03342510337647104,6.0442684144376697e-12,6.0442684144376697e-12,6.0442684144376697e-12,1.1868172308902106e-11,1.7109685813920098e-11,1.4962570944916973e-05,1.4962570944916973e-05,1.4962570944916973e-05,1.0287919354130322e-05,1.4495105785838306e-05,5.917557781610994e-07,5.917557781610994e-07,5.917557781610994e-07,1.0845617882008189e-06,1.5280871972365664e-06,97903.623331419105,97903.623331419105,89156.737745702689,93530.180538560904,97466.279052133279,6044.268414437669,591755778.16109931,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9583082609942858e-15,-2.0098110192533716e-13
23,2.2999999999999997e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3008938542852191e-05,697982.80082935037,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.060540102,2.2999999999999997e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686614215962,2794339000981882,2794339000981882,165445994602.38031,0.033425103377461469,6.0442684176387593e-12,6.0442684176387593e-12,6.0442684176387593e-12,1.1868172310479508e-11,1.7109685814036178e-11,1.4964501191174062e-05,1.4964501191174062e-05,1.4964501191174062e-05,1.0288382701849271e-05,1.4496889342241582e-05,5.9167944856204942e-07,5.9167944856204942e-07,5.9167944856204942e-07,1.0846646510405985e-06,1.5283513332712928e-06,97890.994853136188,97890.994853136188,89172.680209407627,93531.837531271914,97455.079120949755,6044.2684176387593,591679448.56204939,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.958667777256957e-15,-2.010456158496687e-13
24,2.3999999999999996e-14,1.0000000000000001e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.3009636229655283e-05,697686.80309239577,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.3750000000000005e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.1875e-05,6.5624999999999996e-05,7.5000000000000061e-06,2633104.8564786837,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,22358664.220866557,17600693.052162308,21882867.103996132,8.4913687223103427,6.68438744809432,8.3106705948887392,22358664.053565986,2.3999999999999996e-14,3.3333333333333337e-06,6.5624999999999996e-05,8.4913686587729664,2794699327390458,2794699327390458,165445994514.75262,0.033425103378451983,6.0442684208400776e-12,6.0442684208400776e-12,6.0442684208400776e-12,1.1868172312053238e-11,1.7109685814145085e-11,1.4966430844737134e-05,1.4966430844737134e-05,1.4966430844737134e-05,1.0288845765339212e-05,1.4498672336797341e-05,5.9160316208012478e-07,5.9160316208012478e-07,5.9160316208012478e-07,1.0847675824756837e-06,1.5286155608316864e-06,97878.373508418634,97878.373508418634,89188.627990417357,93533.500749417988,97443.886232518562,6044.2684208400769,591603162.08012474,RESOLVED_PREFERRED,RESOLVED_PREFERRED,-1.9590272212361075e-15,-2.0111013774676894e-13
