step,time_s,dt_s,topology,topology_confidence,topology_evidence,topology_status,head_count,head_position_m,head_velocity_m_s,bridge_status,roi_definition,roi_status,roi_cell_count,roi_volume_m3,roi_centroid_r_m,roi_centroid_z_m,roi_r_min_m,roi_r_max_m,roi_z_min_m,roi_z_max_m,electrode_distance_m,Ek_V_m,gas,pressure_Pa,temperature_K,Ek_semantics,E0_source,E0_max_V_m,E0_mean_V_m,E0_p95_V_m,eta_0_max,eta_0_mean,eta_0_p95,E_peak_V_m,E_peak_time_s,E_peak_r_m,E_peak_z_m,eta_peak,ne_at_E_peak_m3,ne_peak_m3,E_at_ne_peak_V_m,nu_i_at_E_peak_s_1,mu_e_at_E_peak_m2_V_s,nu_i_at_ne_peak_s_1,mu_e_at_ne_peak_m2_V_s,tau_i_at_E_peak_s,tau_i_at_ne_peak_s,tau_i_min_s,tau_i_median_s,tau_i_p95_s,sigma_e_at_E_peak_S_m,sigma_e_at_ne_peak_S_m,sigma_e_peak_S_m,sigma_e_median_S_m,sigma_e_p95_S_m,tau_M_at_E_peak_s,tau_M_at_ne_peak_s,tau_M_min_s,tau_M_median_s,tau_M_p95_s,Pi_RF_at_E_peak,Pi_RF_at_ne_peak,Pi_RF_min,Pi_RF_median,Pi_RF_p95,N_tau_i_at_E_peak,N_tau_M_at_E_peak,tau_i_resolution_status,tau_M_resolution_status,sigma_e_peak_r_m,sigma_e_peak_z_m,E_at_sigma_peak_V_m,ne_at_sigma_peak_m3,mu_e_at_sigma_peak_m2_V_s,nu_i_at_sigma_peak_s_1,tau_i_at_sigma_peak_s,tau_M_at_sigma_peak_s,Pi_RF_at_sigma_peak,E_roi_median_V_m,ne_roi_median_m3,mu_e_roi_median_m2_V_s,nu_i_roi_median_s_1,K_ion_z_A_m_s,K_ion_abs_A_m_s,signed_proxy_status,mechanism_proxy_role,current_moment_r_A_m,current_moment_z_A_m,dMdt_native_A_m_s
1996,1.4287115311025311e-11,5.8651029734100004e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.776333574791751e-05,221912.83327106904,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710315.55485206,1.4287115311025311e-11,3.3333333333333337e-06,6.9375e-05,15.840734732695871,6752166254451430.0,6752166254451430.0,41710315.55485206,426249972683.86646,0.0319518173952522,426249972683.86646,0.0319518173952522,2.3460412060639882e-12,2.3460412060639882e-12,2.3460412060639882e-12,4.195146652442164e-12,5.859341554182523e-12,3.456599687844811e-05,3.456599687844811e-05,3.456599687844811e-05,1.918357769526255e-05,3.3027754960129555e-05,2.5615311613710716e-07,2.5615311613710716e-07,2.5615311613710716e-07,1.2927461955841405e-06,2.22567996708647e-06,109185.2587563292,109185.2587563292,109185.2587563292,247283.076181814,371571.1118647502,400.0000028473478,43674103.81342008,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710315.55485206,6752166254451430.0,0.0319518173952522,426249972683.86646,2.3460412060639882e-12,2.5615311613710716e-07,109185.2587563292,32034507.583116192,3730980592500736.0,0.032688457861796,295848206986.15247,0.3291397933484878,0.3291397933484878,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.669464617903338e-16,-5.963584282652778e-13,0.007675495944532429
1997,1.4292980414040471e-11,5.865103015159969e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.776463619921284e-05,221726.9316441968,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710315.338386714,1.4292980414040471e-11,3.3333333333333337e-06,6.9375e-05,15.840734650486706,6755421184474037.0,6755421184474037.0,41710315.338386714,426249969649.2288,0.0319518174040862,426249969649.2288,0.0319518174040862,2.3460412227663586e-12,2.3460412227663586e-12,2.3460412227663586e-12,4.195146629642672e-12,5.859341495831353e-12,3.458265967396016e-05,3.458265967396016e-05,3.458265967396016e-05,1.9186448472866088e-05,3.3043038553850754e-05,2.560296951210775e-07,2.560296951210775e-07,2.560296951210775e-07,1.2960403797273514e-06,2.232049995872998e-06,109132.6497746606,109132.6497746606,109132.6497746606,247811.9945102509,372623.40477228217,400.0000028477541,43653060.22064718,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710315.338386714,6755421184474037.0,0.0319518174040862,426249969649.2288,2.3460412227663586e-12,2.560296951210775e-07,109132.6497746606,32034507.542746,3731588389504553.5,0.0326884578565749,295848206321.50635,0.3292737515690757,0.3292737515690757,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.645104744727411e-16,-5.963132000898976e-13,0.00774726472875642
1998,1.4298845517097388e-11,5.865103056915897e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.776593556166204e-05,221541.28181270752,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710315.12189068,1.4298845517097388e-11,3.3333333333333337e-06,6.9375e-05,15.840734568265892,6758671863719878.0,6758671863719878.0,41710315.12189068,426249966614.16144,0.0319518174129215,426249966614.16144,0.0319518174129215,2.3460412394710945e-12,2.3460412394710945e-12,2.3460412394710945e-12,4.1951466068080175e-12,5.859341437411248e-12,3.459930070871284e-05,3.459930070871284e-05,3.459930070871284e-05,1.9189314310739835e-05,3.3058302068915536e-05,2.559065539313148e-07,2.559065539313148e-07,2.559065539313148e-07,1.29935041650599e-06,2.2384498928231976e-06,109080.16006956804,109080.16006956804,109080.16006956804,248343.57210479263,373680.6429364947,400.0000028481573,43632064.338504665,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710315.12189068,6758671863719878.0,0.0319518174129215,426249966614.16144,2.3460412394710945e-12,2.559065539313148e-07,109080.16006956804,32034507.502439644,3732195170423797.5,0.0326884578513431,295848205657.6402,0.3294075302248721,0.3294075302248721,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.62073965157612e-16,-5.962675512535115e-13,0.007818941041399796
1999,1.4304710620196066e-11,5.865103098677738e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.7767233836737e-05,221355.8829448033,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710314.905364014,1.4304710620196066e-11,3.3333333333333337e-06,6.9375e-05,15.840734486033442,6761918288699615.0,6761918288699615.0,41710314.905364014,426249963578.6645,0.0319518174217581,426249963578.6645,0.0319518174217581,2.3460412561781957e-12,2.3460412561781957e-12,2.3460412561781957e-12,4.195146583938234e-12,5.859341378922269e-12,3.461591996484335e-05,3.461591996484335e-05,3.461591996484335e-05,1.919217521572775e-05,3.307354548993179e-05,2.557836920640127e-07,2.557836920640127e-07,2.557836920640127e-07,1.3026764004037907e-06,2.244879837909591e-06,109027.78942630174,109027.78942630174,109027.78942630174,248877.82453183728,374742.8561268193,400.0000028485604,43611116.08109294,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710314.905364014,6761918288699615.0,0.0319518174217581,426249963578.6645,2.3460412561781957e-12,2.557836920640127e-07,109027.78942630174,32034507.462197084,3732800936459549.5,0.0326884578461007,295848204994.5532,0.3295411292107076,0.3295411292107076,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.596369399851073e-16,-5.962214822995605e-13,0.007890524509448937
2000,1.4310575723336511e-11,5.865103140445489e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.776853102590502e-05,221170.7342478464,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710314.6888071,1.4310575723336511e-11,3.3333333333333337e-06,6.9375e-05,15.8407344037895,6765160455938685.0,6765160455938685.0,41710314.6888071,426249960542.7432,0.0319518174305959,426249960542.7432,0.0319518174305959,2.346041272887632e-12,2.346041272887632e-12,2.346041272887632e-12,4.195146561033336e-12,5.859341320364471e-12,3.46325174245645e-05,3.46325174245645e-05,3.46325174245645e-05,1.9195031194684644e-05,3.308876880157652e-05,2.556611090165745e-07,2.556611090165745e-07,2.556611090165745e-07,1.3060184266073764e-06,2.2513400124390975e-06,108975.53763062884,108975.53763062884,108975.53763062884,249414.76747423303,375810.0743334768,400.00000284895856,43590215.36271833,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710314.6888071,6765160455938685.0,0.0319518174305959,426249960542.7432,2.346041272887632e-12,2.556611090165745e-07,108975.53763062884,32034507.42201843,3733405688815249.0,0.0326884578408477,295848204332.24725,0.3296745484220189,0.3296745484220189,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.571994051059926e-16,-5.961749937736778e-13,0.007962014759762326
2001,1.4316440826518731e-11,5.865103182219079e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.776982713062863e-05,220985.8349200171,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710314.4722198,1.4316440826518731e-11,3.3333333333333337e-06,6.9375e-05,15.840734321534024,6768398361977325.0,6768398361977325.0,41710314.4722198,426249957506.39606,0.0319518174394349,426249957506.39606,0.0319518174394349,2.346041289599412e-12,2.346041289599412e-12,2.346041289599412e-12,4.195146538093322e-12,5.859341261737842e-12,3.464909307016493e-05,3.464909307016493e-05,3.464909307016493e-05,1.9197882254476228e-05,3.310397198859606e-05,2.5553880428760826e-07,2.5553880428760826e-07,2.5553880428760826e-07,1.3093765910124035e-06,2.25783059906472e-06,108923.40446882827,108923.40446882827,108923.40446882827,249954.41673229425,376882.32776941353,400.0000028493582,43569362.09789312,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710314.4722198,6768398361977325.0,0.0319518174394349,426249957506.39606,2.346041289599412e-12,2.5553880428760826e-07,108923.40446882827,32034507.38190365,3734009428696685.0,0.0326884578355841,295848203670.72174,0.3298077877548351,0.3298077877548351,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.547613666809899e-16,-5.961280862236813e-13,0.008033411418601588
2002,1.432230592974273e-11,5.865103223998531e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777112215236568e-05,220801.18415493527,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710314.25560254,1.432230592974273e-11,3.3333333333333337e-06,6.9375e-05,15.840734239267166,6771632003370599.0,6771632003370599.0,41710314.25560254,426249954469.629,0.0319518174482751,426249954469.629,0.0319518174482751,2.346041306313504e-12,2.346041306313504e-12,2.346041306313504e-12,4.195146515118206e-12,5.859341203042437e-12,3.466564688400911e-05,3.466564688400911e-05,3.466564688400911e-05,1.920072840197899e-05,3.31191550358061e-05,2.554167773769237e-07,2.554167773769237e-07,2.554167773769237e-07,1.3127509902297607e-06,2.2643517817973144e-06,108871.38972769308,108871.38972769308,108871.38972769308,250496.78822482412,377959.6468722421,400.0000028497523,43548556.20133373,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710314.25560254,6771632003370599.0,0.0319518174482751,426249954469.629,2.346041306313504e-12,2.554167773769237e-07,108871.38972769308,32034507.341852877,3734612157311999.0,0.0326884578303099,295848203009.9788,0.3299408471057958,0.3299408471057958,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.523228308812022e-16,-5.960807601995885e-13,0.008104714111773603
2003,1.4328171033008514e-11,5.86510326578376e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777241609256934e-05,220616.78115765256,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710314.03895536,1.4328171033008514e-11,3.3333333333333337e-06,6.9375e-05,15.840734156988946,6774861376688421.0,6774861376688421.0,41710314.03895536,426249951432.44257,0.0319518174571166,426249951432.44257,0.0319518174571166,2.346041323029904e-12,2.346041323029904e-12,2.346041323029904e-12,4.195146492107992e-12,5.859341144278271e-12,3.468217884853758e-05,3.468217884853758e-05,3.468217884853758e-05,1.9203569644080237e-05,3.3134317928091844e-05,2.552950277855265e-07,2.552950277855265e-07,2.552950277855265e-07,1.316141721591837e-06,2.270903746017516e-06,108819.49319452474,108819.49319452474,108819.49319452474,251041.8979901533,379042.06230621896,400.0000028501459,43527797.58796133,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710314.03895536,6774861376688421.0,0.0319518174571166,426249951432.44257,2.346041323029904e-12,2.552950277855265e-07,108819.49319452474,32034507.30186612,3735213875871671.0,0.0326884578250251,295848202350.01825,0.3300737263721362,0.3300737263721362,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.498838038879521e-16,-5.960330162536066e-13,0.008175922465092356
2004,1.4334036136316088e-11,5.8651033075747615e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777370895268808e-05,220432.62512872083,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710313.82227843,1.4334036136316088e-11,3.3333333333333337e-06,6.9375e-05,15.840734074699428,6778086478515580.0,6778086478515580.0,41710313.82227843,426249948394.8392,0.0319518174659593,426249948394.8392,0.0319518174659593,2.3460413397486e-12,2.3460413397486e-12,2.3460413397486e-12,4.19514646906271e-12,5.8593410854454095e-12,3.4698688946267005e-05,3.4698688946267005e-05,3.4698688946267005e-05,1.9206405987678028e-05,3.3149460650408115e-05,2.551735550156157e-07,2.551735550156157e-07,2.551735550156157e-07,1.31954888315885e-06,2.2774866784877605e-06,108767.71465713384,108767.71465713384,108767.71465713384,251589.76218718375,380129.6049642288,400.0000028505372,43507086.172899954,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710313.82227843,6778086478515580.0,0.0319518174659593,426249948394.8392,2.3460413397486e-12,2.551735550156157e-07,108767.71465713384,32034507.261943385,3735814585588521.0,0.0326884578197297,295848201690.8407,0.3302064254516974,0.3302064254516974,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.474442918927895e-16,-5.959848549401422e-13,0.008247036103504968
2005,1.433990123966546e-11,5.8651033493715e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777500073416577e-05,220248.71528243468,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710313.60557198,1.433990123966546e-11,3.3333333333333337e-06,6.9375e-05,15.840733992398697,6781307305451764.0,6781307305451764.0,41710313.60557198,426249945356.8216,0.0319518174748032,426249945356.8216,0.0319518174748032,2.346041356469575e-12,2.346041356469575e-12,2.346041356469575e-12,4.195146445982352e-12,5.859341026543852e-12,3.4715177159790346e-05,3.4715177159790346e-05,3.4715177159790346e-05,1.9209237439681152e-05,3.316458318777942e-05,2.550523585705784e-07,2.550523585705784e-07,2.550523585705784e-07,1.3229725737252413e-06,2.2841007673644374e-06,108716.05390383751,108716.05390383751,108716.05390383751,252140.3970964505,381222.3059698022,400.00000285092585,43486421.87147642,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710313.60557198,6781307305451764.0,0.0319518174748032,426249945356.8216,2.346041356469575e-12,2.550523585705784e-07,108716.05390383751,32034507.22208479,3736414287677699.0,0.0326884578144237,295848201032.4474,0.3303389442429242,0.3303389442429242,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.450043010975702e-16,-5.959362768158024e-13,0.008318054651823559
2006,1.4345766343056634e-11,5.865103391173938e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777629143844156e-05,220065.0508101032,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710313.38883604,1.4345766343056634e-11,3.3333333333333337e-06,6.9375e-05,15.840733910086772,6784523854111586.0,6784523854111586.0,41710313.38883604,426249942318.39087,0.0319518174836483,426249942318.39087,0.0319518174836483,2.3460413731928248e-12,2.3460413731928248e-12,2.3460413731928248e-12,4.1951464228669455e-12,5.859340967573656e-12,3.473164347177694e-05,3.473164347177694e-05,3.473164347177694e-05,1.9212064007009123e-05,3.317968552530016e-05,2.549314379549861e-07,2.549314379549861e-07,2.549314379549861e-07,1.3264128928261308e-06,2.2907462022101608e-06,108664.51072345726,108664.51072345726,108664.51072345726,252693.8191211841,382320.19667913823,400.0000028513137,43465804.59921952,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710313.38883604,6784523854111586.0,0.0319518174836483,426249942318.39087,2.3460413731928248e-12,2.549314379549861e-07,108664.51072345726,32034507.18229028,3737012983356687.0,0.0326884578091071,295848200374.838,0.3304712826448644,0.3304712826448644,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.425638377144986e-16,-5.958872824393941e-13,0.008388977734497871
2007,1.4351631446489616e-11,5.865103432982063e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777758106695007e-05,219881.6309468173,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710313.172070846,1.4351631446489616e-11,3.3333333333333337e-06,6.9375e-05,15.84073382776373,6787736121124608.0,6787736121124608.0,41710313.172070846,426249939279.54974,0.0319518174924946,426249939279.54974,0.0319518174924946,2.3460413899183328e-12,2.3460413899183328e-12,2.3460413899183328e-12,4.195146399716499e-12,5.8593409085348484e-12,3.474808786497265e-05,3.474808786497265e-05,3.474808786497265e-05,1.9214885696592103e-05,3.3194767648134594e-05,2.5481079267459054e-07,2.5481079267459054e-07,2.5481079267459054e-07,1.3298699407438427e-06,2.2974231740061696e-06,108613.08490531816,108613.08490531816,108613.08490531816,253250.04478839363,383423.3086831616,400.0000028516988,43445234.271859065,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710313.172070846,6787736121124608.0,0.0319518174924946,426249939279.54974,2.3460413899183328e-12,2.5481079267459054e-07,108613.08490531816,32034507.142559946,3737610673845286.0,0.0326884578037799,295848199718.01355,0.3306034405571734,0.3306034405571734,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.401229079658602e-16,-5.958378723719305e-13,0.008459804975295526
2008,1.4357496549964412e-11,5.865103474795833e-15,ELECTRODE_ATTACHMENT,HIGH,HEAD_COMPONENT_WITHIN_ELECTRODE_DISTANCE,CONFIRMED,1,6.777886962112118e-05,219698.45487689355,0,ATTACHMENT_ROI,VALID,2,1.047197551196598e-15,3.3333333333333337e-06,6.75e-05,3.3333333333333337e-06,3.3333333333333337e-06,6.5625e-05,6.9375e-05,3.749999999999996e-06,2633104.856478684,AIR_MORROW_LOWKE_BASELINE,101325,300,REFERENCE_NORMALIZATION_ONLY,STAGE_C_2D_ELECTROSTATIC_REFERENCE,41710533.85723665,32034599.039051607,40742940.37541815,15.840817639528863,12.166093180919605,15.47334519366794,41710312.95527656,1.4357496549964412e-11,3.3333333333333337e-06,6.9375e-05,15.840733745429644,6790944103135367.0,6790944103135367.0,41710312.95527656,426249936240.301,0.031951817501342,426249936240.301,0.031951817501342,2.3460414066460848e-12,2.3460414066460848e-12,2.3460414066460848e-12,4.195146376531001e-12,5.859340849427424e-12,3.476451032220004e-05,3.476451032220004e-05,3.476451032220004e-05,1.9217702515370925e-05,3.320982954151713e-05,2.546904222363191e-07,2.546904222363191e-07,2.546904222363191e-07,1.3333438185144964e-06,2.304131875164856e-06,108561.77623924636,108561.77623924636,108561.77623924636,253809.09074995603,384531.6738095947,400.00000285208125,43424710.80532555,RESOLVED_PREFERRED,RESOLVED_PREFERRED,3.3333333333333337e-06,6.9375e-05,41710312.95527656,6790944103135367.0,0.031951817501342,426249936240.301,2.3460414066460848e-12,2.546904222363191e-07,108561.77623924636,32034507.10289387,3738207360365617.0,0.0326884577984421,295848199061.97546,0.3307354178801129,0.3307354178801129,DEFINED_FROM_FROZEN_ELECTRON_DRIFT_CONVENTION,MECHANISM_DIAGNOSTIC_PROXY_NOT_CLOSURE_RELATION,-5.376815180844769e-16,-5.957880471766314e-13,0.00853053599772835
