case,time_s,source_file,head_x_m,head_y_m,head_z_m,Ehead_x_V_m,Ehead_y_V_m,Ehead_z_V_m,Ehead_mag_V_m,Eprop_dir_x,Eprop_dir_y,Eprop_dir_z,head_dir_x,head_dir_y,head_dir_z,theta_E_deg,theta_head_deg,delta_theta_deg,head_valid,head_status,field_direction_valid,field_status,trajectory_valid,trajectory_status,trajectory_displacement_m,trajectory_dx_ref_m,trajectory_displacement_over_dx,trajectory_min_displacement_dx,trajectory_start_time_s,trajectory_end_time_s,trajectory_lag_s,head_definition,legacy_head_definition,field_sampling_method,case_polarity,reference_axis_vector,polarity_sign,head_threshold_m3,field_sampling_radius_m,min_dx_m,active_component_count,primary_component_cells,legacy_min_z_m,legacy_min_z_in_primary_component,primary_component_min_z_m,field_sample_x_m,field_sample_y_m,field_sample_z_m,input_prefix,input_kind
triangular_foil,0.0,results_raw/e2_case_a_pi_off_500V_source_000000.csv,-6.699313140601166e-08,-6.69931314060112e-08,5.6474609375000054e-05,-212601.0830677842,177996.7354190982,-10199024.474329878,10202792.866971342,-0.020837537901609287,0.017445883469350075,-0.9996306508726974,nan,nan,nan,1.5572901510236028,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_SPATIAL_DISPLACEMENT,4.886144110968554e-09,9.375e-07,0.005211887051699791,1.0,0.0,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_foil,"0,0,-1",1.0,100000000000000.0,3.75e-06,9.375e-07,452,1486,5.1708984375e-05,False,5.647460937499999e-05,-4.687500000000004e-07,4.6875e-07,6.0048828124999996e-05,e2_case_a_pi_off_500V,source
triangular_foil,5e-12,results_raw/e2_case_a_pi_off_500V_source_000001.csv,-6.357016485795608e-08,-6.35063414375667e-08,5.647460937499998e-05,212605.9620694226,-178002.21524187995,-10198846.947837485,10202615.603322143,0.020838378150814043,-0.017446723679751246,-0.9996306186931682,nan,nan,nan,nan,nan,nan,True,VALID,True,VALID,False,INSUFFICIENT_NEXT_POSITION,nan,nan,nan,1.0,5e-12,nan,nan,primary_connected_active_component_leading_edge_ne_ge_e2_head_threshold,existing_stage_e_min_z_ne_ge_e2_head_threshold,local_peak_Eabs_within_4_min_dx_of_primary_connected_leading_edge_head,positive_hv_foil,"0,0,-1",1.0,100000000000000.0,3.75e-06,9.375e-07,493,1530,5.1708984375e-05,False,5.647460937499999e-05,4.6875e-07,-4.687500000000004e-07,6.0048828124999996e-05,e2_case_a_pi_off_500V,source
