r_m,T_K,p_Pa,rho_kg_m3,u_m_s,sigma_S_m
1.6666666666666667e-06,7855.285211165965,134897.27957830575,0.032716531992406414,-11.853925576658744,789.1349657813319
4.9999999999999996e-06,7817.4477645710385,136429.87378211436,0.03344736537984482,-13.441114093138392,756.4714567958624
8.333333333333334e-06,7745.987026659703,139219.7885066231,0.03485598174837553,-15.551863289993646,697.84187532897
1.1666666666666666e-05,7644.9788776812275,142759.6240993203,0.036865763393826946,-18.098534458147988,622.0448506983463
1.5e-05,7519.035925324308,146613.362911274,0.039427899000738655,-20.755835761880142,538.5857880119655
1.8333333333333333e-05,7372.140347432836,150343.1023943907,0.042490284844362805,-21.93177752298763,455.529512061584
2.1666666666666667e-05,7206.916570398138,153572.10214193832,0.046002704586841955,-19.629650787753476,378.15224863942314
2.4999999999999998e-05,7024.196383818392,156064.54517791848,0.049935012105501324,-12.18245978309826,308.8169037730811
2.8333333333333335e-05,6822.623203701575,157802.54465305278,0.05431135531343178,1.5236844251236739,247.69366963400503
3.1666666666666666e-05,6597.909867090253,159002.71240568793,0.05924773205559169,22.17540824719826,193.71630056448396
3.5e-05,6341.824881282483,160016.649123473,0.06495930178836104,49.85252950561272,145.4768638095641
3.8333333333333334e-05,6035.472646240092,161295.75963265414,0.0719167411322703,84.81908246744285,101.2604987423947
4.1666666666666665e-05,5635.657669751764,163118.70842060723,0.08108443958729761,128.0997013056523,59.80954112010586
4.4999999999999996e-05,5049.052088703797,163139.8814415731,0.09354785181818474,165.84739819523472,23.394096312121917
4.8333333333333334e-05,4334.8714343895535,158415.94368405177,0.1089302033614923,169.23905781505565,4.8959987241034195
5.166666666666667e-05,3797.044632991329,152075.97664066148,0.125326855595591,136.9445961656029,0.9257472827959204
5.4999999999999995e-05,3417.017410903475,147187.07686099858,0.1414298125817529,99.20279521286344,0.19282168088279972
5.833333333333333e-05,3059.0187038982426,143007.87103963425,0.15843295261924542,79.30656832173005,0.028524615693000167
6.166666666666667e-05,2666.2942220632435,138569.9669411541,0.17881066927132996,73.51560034766194,0.0017497202278977772
6.500000000000001e-05,2259.473272204257,132895.6499286786,0.20338562563545007,67.38269100784974,3.063990694348456e-05
6.833333333333333e-05,1895.6401765040641,126841.90659285121,0.2316969385473263,55.238101728749974,1.7002183956959433e-07
7.166666666666666e-05,1594.9343956075916,121440.1499944219,0.2637601075693147,41.08620657550021,3.8040857156546937e-10
7.500000000000001e-05,1349.667543023553,117044.65946311546,0.30045364506347977,29.146887366038843,3.859339162331835e-13
7.833333333333333e-05,1148.4851406795449,113626.188859025,0.3427936646768255,20.513372414302353,1.891121844705715e-16
8.166666666666665e-05,982.5476766831546,110979.23107114383,0.3913643103211321,14.560724451459238,4.8743879667044054e-20
8.5e-05,845.5832859548163,108895.32643534342,0.4462245048445431,10.416744941461856,7.650681284880333e-24
8.833333333333333e-05,732.9618100971846,107231.91554829493,0.5069297107943934,7.469317556382,9.058612353895379e-28
9.166666666666667e-05,640.9567579339549,105900.81425558034,0.572503900536607,5.35017305084559,1.0509385446279543e-31
9.5e-05,566.3738915485766,104841.69445854037,0.6414171925396622,3.8266227082715747,1.573716632553181e-35
9.833333333333333e-05,506.4125119966116,104006.64560479399,0.7116521634207416,2.73607750879066,3.9274420479959796e-39
0.00010166666666666667,458.61788922457293,103354.65797259608,0.7808922477619082,1.958645448115786,2.0106638024429676e-42
0.000105,420.85607828429283,102850.30865172987,0.8468075471342462,1.405423306269826,2.4337634376682596e-45
0.00010833333333333333,391.29025294752256,102463.48799720482,0.9073677181131461,1.0114320451506478,7.47106564381953e-48
0.00011166666666666667,368.3553137800479,102169.12976613047,0.9610950395718193,0.7300030134004553,5.835063370933058e-50
0.000115,350.7315216951439,101946.76431235795,1.0071925272988915,0.5280929203692687,1.102188781172163e-51
0.00011833333333333333,337.31808734896543,101779.94748511293,1.0455303368260638,0.38251943960663204,4.612865046614105e-53
0.00012166666666666668,327.2072868368414,101655.6472378267,1.076521564003818,0.2770796195848118,3.841497615872547e-54
0.000125,319.6594722641794,101563.65048616871,1.100943473189377,0.2004335556790175,5.684864896495815e-55
0.00012833333333333333,314.0793010589173,101496.02729090863,1.1197578161518749,0.14459946711496718,1.3413960840339453e-55
0.00013166666666666665,309.99351244149256,101446.66933708987,1.1339649188944152,0.10390913992101904,4.578668430116368e-56
0.000135,307.03056001464677,101410.90493646357,1.1445045541717827,0.0742946321445069,2.080150558886665e-56
0.00013833333333333333,304.90234362396234,101385.18542515853,1.152200973911908,0.0528052296843712,1.1743887189584797e-56
0.00014166666666666668,303.388182041778,101366.83356295711,1.1577418760947022,0.0372807025589468,7.799178030737186e-57
0.000145,302.32105411013526,101353.84384085245,1.1616796099053632,0.02612867263339362,5.837208096293001e-57
