pathway,valid_frequency_band_Hz,frequency_samples,source_unit,receiver_unit,source_peak_frequency_Hz,receiver_peak_frequency_Hz,receiver_induced_peak_shift_Hz,source_centroid_frequency_Hz,receiver_centroid_frequency_Hz,receiver_induced_centroid_shift_Hz,source_band_integrated_metric,receiver_band_integrated_metric,normalized_shape_correlation
POST_BREAKDOWN_G3,"[205992509.3633, 499375780.2747]",48,V,V,205992509.3633,330836454.432,124843945.06869999,341310591.83361584,337571508.2474526,-3739083.586163223,6295746983.681331,11330722.836742695,0.0839209974747504
NATIVE_STAGE4,"[3771036549.883574, 7542073099.767148]",5,V_s_per_m,V_s,3771036549.883574,3771036549.883574,0.0,4336336177.688175,4967862340.968733,631526163.2805576,3.9955058144077654e-17,3.1240512173798606e-26,0.9535114145897118
NATIVE_STAGE5,"[3936061094.1996818, 9840152735.499205]",7,V_s_per_m,V_s,3936061094.1996818,3936061094.1996818,0.0,4848813305.337166,5849883296.531352,1001069991.1941862,2.3345927779331074e-11,2.4827978176220098e-20,0.9780767159974955
