step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
47,4.7000000000000012e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
48,4.8000000000000008e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
49,4.9000000000000003e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
50,4.9999999999999999e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
51,5.0999999999999995e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
52,5.199999999999999e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
53,5.2999999999999986e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
54,5.3999999999999982e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
55,5.4999999999999978e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
56,5.5999999999999973e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
57,5.6999999999999969e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
58,5.7999999999999965e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
59,5.8999999999999961e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
60,5.9999999999999956e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
61,6.0999999999999952e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
62,6.1999999999999948e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
63,6.2999999999999944e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
64,6.3999999999999939e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
65,6.4999999999999935e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
66,6.5999999999999931e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
67,6.6999999999999927e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
68,6.7999999999999922e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
69,6.8999999999999918e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
70,6.9999999999999914e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
71,7.099999999999991e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
72,7.1999999999999905e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
73,7.2999999999999901e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74,7.3999999999999897e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
75,7.4999999999999892e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
76,7.5999999999999888e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
77,7.6999999999999884e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
78,7.799999999999988e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
79,7.8999999999999875e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
80,7.9999999999999871e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
81,8.0999999999999867e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
82,8.1999999999999863e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
83,8.2999999999999858e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
84,8.3999999999999854e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
85,8.499999999999985e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
86,8.5999999999999846e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
87,8.6999999999999841e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
88,8.7999999999999837e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
89,8.8999999999999833e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
90,8.9999999999999829e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
91,9.0999999999999834e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
92,9.199999999999983e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
93,9.2999999999999826e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
94,9.3999999999999822e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
95,9.4999999999999817e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
96,9.5999999999999813e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
97,9.6999999999999809e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
98,9.7999999999999805e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
99,9.89999999999998e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
100,9.9999999999999796e-13,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
101,1.0099999999999979e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
102,1.0199999999999979e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
103,1.0299999999999978e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
104,1.0399999999999978e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
105,1.0499999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
106,1.0599999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
107,1.0699999999999977e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
108,1.0799999999999976e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
109,1.0899999999999976e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
110,1.0999999999999975e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
111,1.1099999999999975e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
112,1.1199999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
113,1.1299999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
114,1.1399999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
115,1.1499999999999973e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
116,1.1599999999999973e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
117,1.1699999999999972e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
118,1.1799999999999972e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
119,1.1899999999999972e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
120,1.1999999999999971e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
121,1.2099999999999971e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
122,1.219999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
123,1.229999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
124,1.2399999999999969e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
125,1.2499999999999969e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
126,1.2599999999999969e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
127,1.2699999999999968e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
128,1.2799999999999968e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
129,1.2899999999999967e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
130,1.2999999999999967e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
131,1.3099999999999966e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
132,1.3199999999999966e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
