step,time_s,K_ion_z_A_m_s,K_ion_abs_A_m_s,dMdt_native_A_m_s
79,7.899999999999995e-14,0.0313036063450771,0.0313036063450771,-0.06496172642987119
80,7.999999999999995e-14,0.0313068981997089,0.0313068981997089,-0.06496960223947212
81,8.099999999999993e-14,0.0313101889006705,0.0313101889006705,-0.0649774762733557
82,8.199999999999993e-14,0.0313134784477024,0.0313134784477024,-0.06498534852940452
83,8.299999999999994e-14,0.0313167668405451,0.0313167668405451,-0.06499321900554378
84,8.399999999999993e-14,0.0313200540789391,0.0313200540789391,-0.06500108769979818
85,8.499999999999993e-14,0.0313233401626254,0.0313233401626254,-0.06500895461024925
86,8.599999999999992e-14,0.0313266250913444,0.0313266250913444,-0.06501681973462325
87,8.699999999999993e-14,0.031329908864837,0.031329908864837,-0.0650246830709591
88,8.79999999999999e-14,0.0313331914828441,0.0313331914828441,-0.0650325446175799
89,8.89999999999999e-14,0.0313364729451067,0.0313364729451067,-0.0650404043720556
90,8.999999999999991e-14,0.0313397532513659,0.0313397532513659,-0.06504826233233985
91,9.09999999999999e-14,0.0313430324013624,0.0313430324013624,-0.06505611849678417
92,9.199999999999987e-14,0.0313463103948379,0.0313463103948379,-0.06506397286328536
93,9.299999999999987e-14,0.0313495872315333,0.0313495872315333,-0.06507182542951284
94,9.399999999999989e-14,0.0313528629111897,0.0313528629111897,-0.06507967619359079
95,9.499999999999987e-14,0.0313561374335491,0.0313561374335491,-0.06508752515374283
96,9.599999999999987e-14,0.0313594107983523,0.0313594107983523,-0.06509537230772366
97,9.699999999999986e-14,0.0313626830053411,0.0313626830053411,-0.06510321765352955
98,9.799999999999987e-14,0.0313659540542568,0.0313659540542568,-0.06511106118921361
99,9.899999999999987e-14,0.0313692239448415,0.0313692239448415,-0.0651189029128858
100,9.999999999999985e-14,0.0313724926768364,0.0313724926768364,-0.06512674282225817
101,1.0099999999999987e-13,0.0313757602499835,0.0313757602499835,-0.06513458091558277
102,1.0199999999999987e-13,0.0313790266640247,0.0313790266640247,-0.06514241719094116
103,1.0299999999999985e-13,0.0313822919187018,0.0313822919187018,-0.06515025164593169
104,1.0399999999999985e-13,0.0313855560137568,0.0313855560137568,-0.06515808427887748
105,1.0499999999999984e-13,0.0313888189489317,0.0313888189489317,-0.06516591508787428
106,1.0599999999999985e-13,0.0313920807239688,0.0313920807239688,-0.06517374407074783
107,1.0699999999999985e-13,0.0313953413386101,0.0313953413386101,-0.0651815712253665
108,1.0799999999999986e-13,0.0313986007925979,0.0313986007925979,-0.06518939655003919
109,1.0899999999999985e-13,0.0314018590856746,0.0314018590856746,-0.0651972200427764
110,1.0999999999999983e-13,0.0314051162175826,0.0314051162175826,-0.06520504170136121
111,1.1099999999999983e-13,0.0314083721880642,0.0314083721880642,-0.06521286152378991
112,1.1199999999999981e-13,0.0314116269968618,0.0314116269968618,-0.06522067950841404
113,1.1299999999999981e-13,0.0314148806437185,0.0314148806437185,-0.06522849565320143
114,1.1399999999999982e-13,0.0314181331283768,0.0314181331283768,-0.0652363099557931
115,1.1499999999999981e-13,0.0314213844505791,0.0314213844505791,-0.06524412241459743
116,1.159999999999998e-13,0.0314246346100685,0.0314246346100685,-0.0652519330275112
117,1.169999999999998e-13,0.0314278836065877,0.0314278836065877,-0.06525974179265859
118,1.179999999999998e-13,0.0314311314398802,0.0314311314398802,-0.0652675487078227
119,1.189999999999998e-13,0.0314343781096881,0.0314343781096881,-0.0652753537712556
120,1.1999999999999982e-13,0.0314376236157552,0.0314376236157552,-0.06528315698109566
121,1.209999999999998e-13,0.0314408679578245,0.0314408679578245,-0.06529095833512599
122,1.2199999999999978e-13,0.0314441111356392,0.0314441111356392,-0.06529875783141392
123,1.2299999999999978e-13,0.0314473531489422,0.0314473531489422,-0.06530655546814046
124,1.2399999999999977e-13,0.0314505939974776,0.0314505939974776,-0.06531435124330187
125,1.2499999999999977e-13,0.0314538336809883,0.0314538336809883,-0.06532214515500812
126,1.2599999999999977e-13,0.0314570721992182,0.0314570721992182,-0.06532993720128388
127,1.2699999999999976e-13,0.0314603095519105,0.0314603095519105,-0.06533772737989807
128,1.2799999999999978e-13,0.0314635457388091,0.0314635457388091,-0.06534551568928748
129,1.2899999999999978e-13,0.0314667807596576,0.0314667807596576,-0.06535330212732049
130,1.2999999999999977e-13,0.0314700146141999,0.0314700146141999,-0.06536108669202179
131,1.3099999999999974e-13,0.0314732473021796,0.0314732473021796,-0.06536886938157238
132,1.3199999999999974e-13,0.0314764788233409,0.0314764788233409,-0.06537665019399697
133,1.3299999999999976e-13,0.0314797091774278,0.0314797091774278,-0.06538442912730602
134,1.3399999999999973e-13,0.0314829383641842,0.0314829383641842,-0.06539220617965213
135,1.3499999999999973e-13,0.0314861663833544,0.0314861663833544,-0.06539998134903158
136,1.3599999999999972e-13,0.0314893932346828,0.0314893932346828,-0.06540775463327009
137,1.3699999999999972e-13,0.0314926189179131,0.0314926189179131,-0.06541552603081868
138,1.3799999999999974e-13,0.0314958434327902,0.0314958434327902,-0.06542329553973047
139,1.3899999999999974e-13,0.0314990667790582,0.0314990667790582,-0.065431063157817
140,1.3999999999999973e-13,0.0315022889564618,0.0315022889564618,-0.0654388288834582
141,1.409999999999997e-13,0.0315055099647456,0.0315055099647456,-0.0654465927145651
142,1.419999999999997e-13,0.0315087298036543,0.0315087298036543,-0.06545435464902027
143,1.429999999999997e-13,0.031511948472932,0.031511948472932,-0.06546211468491947
144,1.439999999999997e-13,0.0315151659723242,0.0315151659723242,-0.06546987282094108
145,1.4499999999999969e-13,0.0315183823015757,0.0315183823015757,-0.0654776290545982
146,1.4599999999999968e-13,0.0315215974604309,0.0315215974604309,-0.06548538338391552
147,1.469999999999997e-13,0.0315248114486351,0.0315248114486351,-0.06549313580757143
148,1.479999999999997e-13,0.0315280242659336,0.0315280242659336,-0.06550088632312168
149,1.489999999999997e-13,0.0315312359120714,0.0315312359120714,-0.0655086349284062
150,1.4999999999999966e-13,0.0315344463867933,0.0315344463867933,-0.06551638162234497
151,1.5099999999999968e-13,0.0315376556898452,0.0315376556898452,-0.06552412640266425
152,1.5199999999999968e-13,0.0315408638209721,0.0315408638209721,-0.06553186926716137
153,1.5299999999999965e-13,0.0315440707799197,0.0315440707799197,-0.06553961021421628
154,1.5399999999999965e-13,0.0315472765664332,0.0315472765664332,-0.06554734924179684
155,1.5499999999999964e-13,0.0315504811802582,0.0315504811802582,-0.06555508634818352
156,1.5599999999999966e-13,0.0315536846211405,0.0315536846211405,-0.06556282153144366
157,1.5699999999999966e-13,0.0315568868888257,0.0315568868888257,-0.06557055478958773
158,1.5799999999999965e-13,0.0315600879830599,0.0315600879830599,-0.0655782861207399
159,1.5899999999999965e-13,0.0315632879035886,0.0315632879035886,-0.06558601552293908
160,1.5999999999999962e-13,0.0315664866501577,0.0315664866501577,-0.06559374299432363
161,1.6099999999999964e-13,0.0315696842225134,0.0315696842225134,-0.065601468533103
162,1.6199999999999961e-13,0.0315728806204017,0.0315728806204017,-0.06560919213731609
163,1.629999999999996e-13,0.0315760758435687,0.0315760758435687,-0.06561691380510126
164,1.639999999999996e-13,0.0315792698917606,0.0315792698917606,-0.06562463353475323
165,1.649999999999996e-13,0.0315824627647242,0.0315824627647242,-0.0656323513240693
166,1.659999999999996e-13,0.031585654462205,0.031585654462205,-0.06564006717130155
167,1.6699999999999962e-13,0.0315888449839501,0.0315888449839501,-0.0656477810746452
168,1.679999999999996e-13,0.0315920343297058,0.0315920343297058,-0.06565549303208229
169,1.6899999999999958e-13,0.0315952224992186,0.0315952224992186,-0.065663203041737
170,1.699999999999996e-13,0.0315984094922353,0.0315984094922353,-0.06567091110200352
171,1.7099999999999957e-13,0.0316015953085026,0.0316015953085026,-0.06567861721083545
172,1.7199999999999957e-13,0.0316047799477673,0.0316047799477673,-0.06568632136594488
173,1.7299999999999957e-13,0.0316079634097759,0.0316079634097759,-0.06569402356620913
174,1.7399999999999959e-13,0.0316111456942762,0.0316111456942762,-0.06570172380942552
175,1.7499999999999958e-13,0.0316143268010144,0.0316143268010144,-0.06570942209349084
176,1.7599999999999958e-13,0.0316175067297381,0.0316175067297381,-0.06571711841698402
177,1.7699999999999957e-13,0.0316206854801941,0.0316206854801941,-0.06572481277768816
178,1.7799999999999954e-13,0.0316238630521298,0.0316238630521298,-0.06573250517388374
179,1.7899999999999957e-13,0.0316270394452927,0.0316270394452927,-0.06574019560383704
180,1.7999999999999956e-13,0.0316302146594298,0.0316302146594298,-0.06574788406547327
181,1.8099999999999958e-13,0.031633388694289,0.031633388694289,-0.06575557055705872
182,1.8199999999999958e-13,0.0316365615496176,0.0316365615496176,-0.06576325507660385
183,1.8299999999999952e-13,0.0316397332251632,0.0316397332251632,-0.06577093762236075
184,1.8399999999999954e-13,0.0316429037206734,0.0316429037206734,-0.06577861819260988
185,1.8499999999999954e-13,0.0316460730358961,0.0316460730358961,-0.06578629678529069
186,1.8599999999999954e-13,0.031649241170579,0.031649241170579,-0.06579397339864101
187,1.8699999999999953e-13,0.0316524081244702,0.0316524081244702,-0.0658016480308703
188,1.879999999999995e-13,0.0316555738973175,0.0316555738973175,-0.06580932068000322
189,1.889999999999995e-13,0.031658738488869,0.031658738488869,-0.06581699134424923
190,1.899999999999995e-13,0.0316619018988729,0.0316619018988729,-0.06582466002187459
191,1.909999999999995e-13,0.0316650641270773,0.0316650641270773,-0.06583232671091821
192,1.9199999999999948e-13,0.0316682251732306,0.0316682251732306,-0.06583999140953267
193,1.929999999999995e-13,0.0316713850370808,0.0316713850370808,-0.06584765411601268
194,1.939999999999995e-13,0.0316745437183767,0.0316745437183767,-0.0658553148283545
195,1.949999999999995e-13,0.0316777012168666,0.0316777012168666,-0.06586297354489545
196,1.959999999999995e-13,0.0316808575322993,0.0316808575322993,-0.06587063026367446
197,1.9699999999999946e-13,0.0316840126644232,0.0316840126644232,-0.0658782849827162
198,1.9799999999999946e-13,0.0316871666129867,0.0316871666129867,-0.06588593770072748
199,1.9899999999999945e-13,0.0316903193777393,0.0316903193777393,-0.06589358841550563
200,1.9999999999999945e-13,0.0316934709584296,0.0316934709584296,-0.0659012371250185
201,2.0099999999999945e-13,0.0316966213548063,0.0316966213548063,-0.06590888382780236
202,2.0199999999999947e-13,0.0316997705666186,0.0316997705666186,-0.06591652852198138
203,2.0299999999999946e-13,0.0317029185936156,0.0317029185936156,-0.0659241712056371
204,2.0399999999999946e-13,0.0317060654355464,0.0317060654355464,-0.06593181187700736
205,2.0499999999999945e-13,0.0317092110921602,0.0317092110921602,-0.06593945053431582
206,2.0599999999999945e-13,0.0317123555632067,0.0317123555632067,-0.06594708717560138
207,2.0699999999999945e-13,0.0317154988484345,0.0317154988484345,-0.06595472179900241
208,2.0799999999999947e-13,0.0317186409475937,0.0317186409475937,-0.06596235440319731
209,2.089999999999994e-13,0.0317217818604338,0.0317217818604338,-0.06596998498575601
210,2.099999999999994e-13,0.0317249215867042,0.0317249215867042,-0.06597761354511533
211,2.109999999999994e-13,0.0317280601261544,0.0317280601261544,-0.06598524007979734
212,2.119999999999994e-13,0.0317311974785347,0.0317311974785347,-0.0659928645874146
213,2.1299999999999942e-13,0.0317343336435946,0.0317343336435946,-0.06600048706644657
214,2.1399999999999937e-13,0.0317374686210838,0.0317374686210838,-0.06600810751510267
215,2.1499999999999939e-13,0.0317406024107526,0.0317406024107526,-0.06601572593166338
216,2.1599999999999938e-13,0.0317437350123511,0.0317437350123511,-0.06602334231435236
217,2.1699999999999938e-13,0.0317468664256293,0.0317468664256293,-0.06603095666102377
218,2.1799999999999937e-13,0.0317499966503375,0.0317499966503375,-0.06603856897007176
219,2.1899999999999937e-13,0.0317531256862258,0.0317531256862258,-0.06604617923996159
220,2.199999999999994e-13,0.0317562535330448,0.0317562535330448,-0.0660537874686753
221,2.2099999999999939e-13,0.0317593801905447,0.0317593801905447,-0.06606139365443653
222,2.2199999999999938e-13,0.0317625056584764,0.0317625056584764,-0.0660689977952984
223,2.2299999999999933e-13,0.0317656299365899,0.0317656299365899,-0.06607659988956982
224,2.2399999999999935e-13,0.0317687530246363,0.0317687530246363,-0.06608419993577286
225,2.2499999999999934e-13,0.0317718749223662,0.0317718749223662,-0.06609179793184694
226,2.2599999999999934e-13,0.0317749956295306,0.0317749956295306,-0.06609939387566044
227,2.2699999999999934e-13,0.0317781151458799,0.0317781151458799,-0.0661069877659628
228,2.2799999999999933e-13,0.0317812334711656,0.0317812334711656,-0.06611457960106293
229,2.2899999999999933e-13,0.0317843506051384,0.0317843506051384,-0.06612216937888604
230,2.299999999999993e-13,0.0317874665475497,0.0317874665475497,-0.06612975709748525
231,2.309999999999993e-13,0.0317905812981502,0.0317905812981502,-0.06613734275545369
232,2.319999999999993e-13,0.0317936948566921,0.0317936948566921,-0.06614492635095814
233,2.329999999999993e-13,0.0317968072229258,0.0317968072229258,-0.06615250788192384
234,2.339999999999993e-13,0.0317999183966031,0.0317999183966031,-0.06616008734702916
235,2.349999999999993e-13,0.0318030283774755,0.0318030283774755,-0.0661676647440288
236,2.359999999999993e-13,0.0318061371652944,0.0318061371652944,-0.06617524007140219
237,2.369999999999993e-13,0.0318092447598119,0.0318092447598119,-0.06618281332750087
238,2.379999999999993e-13,0.0318123511607791,0.0318123511607791,-0.06619038451033532
239,2.389999999999993e-13,0.0318154563679483,0.0318154563679483,-0.06619795361851288
240,2.399999999999993e-13,0.0318185603810713,0.0318185603810713,-0.0662055206497314
241,2.409999999999993e-13,0.0318216631998997,0.0318216631998997,-0.06621308560244188
242,2.419999999999993e-13,0.0318247648241859,0.0318247648241859,-0.06622064847512377
243,2.429999999999993e-13,0.031827865253682,0.031827865253682,-0.0662282092658586
244,2.439999999999993e-13,0.0318309644881402,0.0318309644881402,-0.06623576797278474
245,2.449999999999993e-13,0.0318340625273122,0.0318340625273122,-0.06624332459422533
246,2.4599999999999925e-13,0.0318371593709512,0.0318371593709512,-0.06625087912848926
247,2.4699999999999925e-13,0.031840255018809,0.031840255018809,-0.06625843157362965
248,2.4799999999999925e-13,0.0318433494706383,0.0318433494706383,-0.06626598192825384
249,2.4899999999999924e-13,0.0318464427261917,0.0318464427261917,-0.06627353019044335
250,2.4999999999999924e-13,0.0318495347852219,0.0318495347852219,-0.0662810763582371
251,2.509999999999993e-13,0.0318526256474814,0.0318526256474814,-0.06628862043004347
252,2.519999999999993e-13,0.0318557153127232,0.0318557153127232,-0.06629616240412872
253,2.529999999999992e-13,0.0318588037807,0.0318588037807,-0.0663037022789581
254,2.539999999999992e-13,0.0318618910511651,0.0318618910511651,-0.0663112400525705
255,2.549999999999992e-13,0.031864977123871,0.031864977123871,-0.06631877572294798
256,2.559999999999992e-13,0.0318680619985712,0.0318680619985712,-0.06632630928879735
257,2.569999999999992e-13,0.0318711456750187,0.0318711456750187,-0.06633384074831383
258,2.579999999999992e-13,0.031874228152967,0.031874228152967,-0.06634137009982055
259,2.589999999999992e-13,0.0318773094321693,0.0318773094321693,-0.0663488973413564
260,2.599999999999992e-13,0.0318803895123789,0.0318803895123789,-0.06635642247107398
261,2.6099999999999924e-13,0.0318834683933494,0.0318834683933494,-0.06636394548770852
262,2.6199999999999924e-13,0.0318865460748344,0.0318865460748344,-0.0663714663892705
263,2.6299999999999923e-13,0.0318896225565875,0.0318896225565875,-0.06637898517384144
264,2.6399999999999923e-13,0.0318926978383625,0.0318926978383625,-0.06638650184004291
265,2.649999999999992e-13,0.0318957719199131,0.0318957719199131,-0.06639401638595643
266,2.659999999999992e-13,0.0318988448009932,0.0318988448009932,-0.0664015288098625
267,2.669999999999992e-13,0.0319019164813569,0.0319019164813569,-0.06640903911008422
268,2.679999999999992e-13,0.0319049869607579,0.0319049869607579,-0.06641654728493052
269,2.689999999999992e-13,0.0319080562389508,0.0319080562389508,-0.06642405333275292
270,2.699999999999992e-13,0.0319111243156895,0.0319111243156895,-0.06643155725159033
271,2.709999999999992e-13,0.0319141911907282,0.0319141911907282,-0.06643905903995062
272,2.719999999999992e-13,0.0319172568638215,0.0319172568638215,-0.06644655869604321
273,2.729999999999992e-13,0.0319203213347236,0.0319203213347236,-0.06645405621793543
274,2.739999999999992e-13,0.0319233846031891,0.0319233846031891,-0.06646155160427725
275,2.749999999999992e-13,0.0319264466689725,0.0319264466689725,-0.06646904485336336
276,2.759999999999992e-13,0.0319295075318288,0.0319295075318288,-0.06647653596316161
277,2.769999999999991e-13,0.0319325671915123,0.0319325671915123,-0.06648402493219407
278,2.7799999999999917e-13,0.031935625647778,0.031935625647778,-0.06649151175864176
279,2.7899999999999916e-13,0.0319386829003809,0.0319386829003809,-0.06649899644089885
280,2.7999999999999916e-13,0.0319417389490758,0.0319417389490758,-0.06650647897713213
281,2.8099999999999916e-13,0.0319447937936179,0.0319447937936179,-0.06651395936560789
282,2.819999999999991e-13,0.0319478474337621,0.0319478474337621,-0.06652143760507556
283,2.829999999999991e-13,0.0319508998692639,0.0319508998692639,-0.06652891369348879
284,2.839999999999991e-13,0.0319539510998785,0.0319539510998785,-0.0665363876289149
285,2.849999999999991e-13,0.0319570011253612,0.0319570011253612,-0.06654385940990437
286,2.859999999999991e-13,0.0319600499454673,0.0319600499454673,-0.06655132903485139
287,2.869999999999991e-13,0.0319630975599527,0.0319630975599527,-0.06655879650219276
288,2.8799999999999913e-13,0.0319661439685729,0.0319661439685729,-0.06656626180966896
289,2.889999999999991e-13,0.0319691891710832,0.0319691891710832,-0.06657372495602942
290,2.899999999999991e-13,0.0319722331672399,0.0319722331672399,-0.06658118593954043
291,2.9099999999999906e-13,0.0319752759567984,0.0319752759567984,-0.06658864475866721
292,2.9199999999999906e-13,0.0319783175395151,0.0319783175395151,-0.06659610141142025
293,2.9299999999999905e-13,0.0319813579151456,0.0319813579151456,-0.06660355589588107
294,2.9399999999999905e-13,0.0319843970834459,0.0319843970834459,-0.06661100821104071
295,2.9499999999999905e-13,0.0319874350441725,0.0319874350441725,-0.0666184583548386
296,2.9599999999999904e-13,0.0319904717970814,0.0319904717970814,-0.06662590632558363
297,2.969999999999991e-13,0.0319935073419291,0.0319935073419291,-0.06663335212165578
298,2.979999999999991e-13,0.0319965416784717,0.0319965416784717,-0.06664079574140658
299,2.989999999999991e-13,0.0319995748064661,0.0319995748064661,-0.06664823718318758
300,2.999999999999991e-13,0.0320026067256686,0.0320026067256686,-0.06665567644517978
301,3.0099999999999907e-13,0.0320056374358358,0.0320056374358358,-0.06666311352584842
302,3.0199999999999907e-13,0.0320086669367246,0.0320086669367246,-0.06667054842331765
303,3.02999999999999e-13,0.0320116952280914,0.0320116952280914,-0.06667798113612378
304,3.03999999999999e-13,0.0320147223096935,0.0320147223096935,-0.06668541166254727
305,3.04999999999999e-13,0.0320177481812877,0.0320177481812877,-0.06669284000089704
306,3.05999999999999e-13,0.0320207728426309,0.0320207728426309,-0.06670026614955304
307,3.06999999999999e-13,0.0320237962934803,0.0320237962934803,-0.06670769010680999
308,3.07999999999999e-13,0.0320268185335931,0.0320268185335931,-0.06671511187109047
309,3.08999999999999e-13,0.0320298395627267,0.0320298395627267,-0.06672253144046181
310,3.09999999999999e-13,0.0320328593806382,0.0320328593806382,-0.06672994881353134
311,3.10999999999999e-13,0.0320358779870853,0.0320358779870853,-0.06673736398872165
312,3.1199999999999897e-13,0.0320388953818254,0.0320388953818254,-0.06674477696400061
313,3.1299999999999897e-13,0.0320419115646159,0.0320419115646159,-0.06675218773790448
314,3.1399999999999896e-13,0.0320449265352148,0.0320449265352148,-0.06675959630887007
315,3.14999999999999e-13,0.0320479402933795,0.0320479402933795,-0.06676700267509261
316,3.15999999999999e-13,0.032050952838868,0.032050952838868,-0.06677440683502311
317,3.1699999999999895e-13,0.0320539641714383,0.0320539641714383,-0.06678180878716944
318,3.1799999999999895e-13,0.0320569742908485,0.0320569742908485,-0.0667892085293289
319,3.1899999999999894e-13,0.032059983196856,0.032059983196856,-0.06679660606020832
320,3.1999999999999894e-13,0.0320629908892197,0.0320629908892197,-0.0668040013786424
321,3.2099999999999894e-13,0.0320659973676977,0.0320659973676977,-0.06681139448230056
322,3.2199999999999893e-13,0.032069002632048,0.032069002632048,-0.06681878536939223
323,3.2299999999999893e-13,0.0320720066820291,0.0320720066820291,-0.06682617403889424
324,3.239999999999989e-13,0.0320750095173997,0.0320750095173997,-0.06683356048891653
325,3.249999999999989e-13,0.032078011137918,0.032078011137918,-0.06684094471765434
326,3.259999999999989e-13,0.0320810115433429,0.0320810115433429,-0.06684832672378604
327,3.269999999999989e-13,0.032084010733433,0.032084010733433,-0.06685570650526529
328,3.279999999999989e-13,0.0320870087079471,0.0320870087079471,-0.06686308406074204
329,3.289999999999989e-13,0.0320900054666442,0.0320900054666442,-0.0668704593886531
330,3.299999999999989e-13,0.0320930010092831,0.0320930010092831,-0.06687783248708001
331,3.309999999999989e-13,0.0320959953356228,0.0320959953356228,-0.06688520335468695
332,3.319999999999989e-13,0.0320989884454227,0.0320989884454227,-0.06689257198972598
333,3.329999999999989e-13,0.0321019803384418,0.0321019803384418,-0.06689993839030706
334,3.3399999999999893e-13,0.0321049710144392,0.0321049710144392,-0.06690730255490962
335,3.3499999999999893e-13,0.0321079604731744,0.0321079604731744,-0.06691466448241101
336,3.359999999999989e-13,0.0321109487144072,0.0321109487144072,-0.0669220241706654
337,3.369999999999989e-13,0.0321139357378966,0.0321139357378966,-0.06692938161785378
