step,time_s,dt_s,topology,topology_status,roi_definition,roi_cell_count,E_peak_V_m,eta_peak,ne_peak_m3,nu_i_at_E_peak_s_1,tau_i_at_E_peak_s,sigma_e_peak_S_m,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,K_ion_abs_A_m_s,current_moment_z_A_m,dMdt_native_A_m_s
304,3.03999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.082829285,8.491367910327003,2891137786214895.5,165445969753.02002,6.044269325465066e-12,1.5482887077777084e-05,5.718693011401345e-07,94613.47109911138,0.0320147223096935,0.0320147223096935,-2.1948326213500207e-13,-0.06668541166254727
305,3.04999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.075738084,8.491367907633908,2891465959195920.5,165445969663.92108,6.044269328720135e-12,1.5484644540385863e-05,5.71804395619621e-07,94602.73269138054,0.0320177481812877,0.0320177481812877,-2.195499512613809e-13,-0.06669284000089704
306,3.05999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.068646565,8.491367904940693,2891794014100657.0,165445969574.81824,6.044269331975346e-12,1.5486401370661768e-05,5.71739528175592e-07,94592.00058325993,0.0320207728426309,0.0320207728426309,-2.1961664781500386e-13,-0.06670026614955304
307,3.06999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.06155476,8.491367902247369,2892121950903948.5,165445969485.7117,6.044269335230692e-12,1.5488157568470066e-05,5.716746987921188e-07,94581.27477211432,0.0320237962934803,0.0320237962934803,-2.1968335179368e-13,-0.06670769010680999
308,3.07999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.054462653,8.49136789955393,2892449769580645.0,165445969396.60153,6.044269338486171e-12,1.5489913133676085e-05,5.716099074532845e-07,94570.55525531033,0.0320268185335931,0.0320268185335931,-2.197500631952175e-13,-0.06671511187109047
309,3.08999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.04737029,8.491367896860394,2892777470105606.0,165445969307.4881,6.044269341741769e-12,1.5491668066145177e-05,5.71545154143185e-07,94559.84203021693,0.0320298395627267,0.0320298395627267,-2.198167820174222e-13,-0.06672253144046181
310,3.09999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.0402776,8.491367894166732,2893105052453698.5,165445969218.37036,6.044269344997525e-12,1.5493422365742762e-05,5.714804388459289e-07,94549.13509420432,0.0320328593806382,0.0320328593806382,-2.1988350825809842e-13,-0.06672994881353134
311,3.10999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.033184644,8.491367891472972,2893432516599798.0,165445969129.24954,6.044269348253392e-12,1.5495176032334278e-05,5.714157615456376e-07,94538.43444464616,0.0320358779870853,0.0320358779870853,-2.1995024191504925e-13,-0.06673736398872165
312,3.1199999999999897e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.026091427,8.491367888779111,2893759862518788.5,165445969040.12534,6.044269351509384e-12,1.549692906578523e-05,5.713511222264448e-07,94527.74007891727,0.0320388953818254,0.0320388953818254,-2.2001698298607586e-13,-0.06674477696400061
313,3.1299999999999897e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.01899787,8.491367886085122,2894087090185561.0,165445968950.99683,6.044269354765533e-12,1.5498681465961148e-05,5.712865208724974e-07,94517.0519943942,0.0320419115646159,0.0320419115646159,-2.2008373146897725e-13,-0.06675218773790448
314,3.1399999999999896e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.01190407,8.49136788339104,2894414199575017.0,165445968861.8653,6.044269358021793e-12,1.550043323272762e-05,5.712219574679543e-07,94506.37018845689,0.0320449265352148,0.0320449265352148,-2.2015048736155166e-13,-0.06675959630887007
315,3.14999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358662.004809946,8.491367880696835,2894741190662063.5,165445968772.72968,6.044269361278202e-12,1.5502184365950273e-05,5.711574319969872e-07,94495.694658486,0.0320479402933795,0.0320479402933795,-2.20217250661595e-13,-0.06676700267509261
316,3.15999999999999e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.99771551,8.491367878002512,2895068063421617.0,165445968683.59018,6.0442693645347525e-12,1.550393486549477e-05,5.710929444437807e-07,94485.02540186504,0.032050952838868,0.032050952838868,-2.2028402136690186e-13,-0.06677440683502311
317,3.1699999999999895e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.990620814,8.491367875308091,2895394817828603.5,165445968594.44745,6.04426936779142e-12,1.5505684731226836e-05,5.710284947925316e-07,94474.36241597976,0.0320539641714383,0.0320539641714383,-2.2035079947526507e-13,-0.06678180878716944
318,3.1799999999999895e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.98352592,8.491367872613592,2895721453857954.0,165445968505.30212,6.044269371048184e-12,1.5507433963012216e-05,5.709640830274498e-07,94463.70569821815,0.0320569742908485,0.0320569742908485,-2.2041758498447618e-13,-0.0667892085293289
319,3.1899999999999894e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.976430584,8.491367869918928,2896047971484610.5,165445968416.15128,6.044269374305148e-12,1.5509182560716724e-05,5.708997091327569e-07,94453.05524596803,0.032059983196856,0.032059983196856,-2.204843778923237e-13,-0.06679660606020832
320,3.1999999999999894e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.96933505,8.49136786722419,2896374370683522.5,165445968326.99802,6.044269377562202e-12,1.55109305242062e-05,5.708353730926874e-07,94442.41105662285,0.0320629908892197,0.0320629908892197,-2.205511781965966e-13,-0.0668040013786424
321,3.2099999999999894e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.96223927,8.491367864529353,2896700651429647.5,165445968237.84152,6.044269380819373e-12,1.551267785334653e-05,5.707710748914894e-07,94431.773127576,0.0320659973676977,0.0320659973676977,-2.2061798589508101e-13,-0.06681139448230056
322,3.2199999999999893e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.955143165,8.491367861834396,2897026813697951.0,165445968148.68106,6.044269384076689e-12,1.5514424548003656e-05,5.707068145134218e-07,94421.1414562228,0.032069002632048,0.032069002632048,-2.206848009855612e-13,-0.06681878536939223
323,3.2299999999999893e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.94804676,8.491367859139325,2897352857463407.0,165445968059.5169,6.04426938733414e-12,1.551617060804356e-05,5.70642591942757e-07,94410.51603996131,0.0320720066820291,0.0320720066820291,-2.207516234658198e-13,-0.06682617403889424
324,3.239999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.940950133,8.49136785644417,2897678782700998.0,165445967970.3498,6.0442693905917e-12,1.5517916033332254e-05,5.705784071637801e-07,94399.89687619194,0.0320750095173997,0.0320750095173997,-2.2081845333363897e-13,-0.06683356048891653
325,3.249999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.933853175,8.491367853748889,2898004589385714.5,165445967881.17865,6.044269393849406e-12,1.551966082373581e-05,5.70514260160788e-07,94389.28396231613,0.032078011137918,0.032078011137918,-2.2088529058679761e-13,-0.06684094471765434
326,3.259999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.92675596,8.491367851053509,2898330277492555.5,165445967792.00412,6.044269397107237e-12,1.5521404979120344e-05,5.704501509180904e-07,94378.67729573828,0.0320810115433429,0.0320810115433429,-2.209521352230743e-13,-0.06684832672378604
327,3.269999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.91965848,8.491367848358031,2898655846996527.5,165445967702.82642,6.044269400365183e-12,1.5523148499351996e-05,5.703860794200104e-07,94368.0768738648,0.032084010733433,0.032084010733433,-2.210189872402452e-13,-0.06685570650526529
328,3.279999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.91256071,8.49136784566244,2898981297872646.5,165445967613.6449,6.044269403623269e-12,1.5524891384296984e-05,5.703220456508814e-07,94357.48269410343,0.0320870087079471,0.0320870087079471,-2.2108584663608482e-13,-0.06686308406074204
329,3.289999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.905462675,8.491367842966751,2899306630095935.5,165445967524.4602,6.04426940688147e-12,1.5526633633821546e-05,5.702580495950514e-07,94346.8947538649,0.0320900054666442,0.0320900054666442,-2.211527134083667e-13,-0.0668704593886531
330,3.299999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.898364343,8.491367840270946,2899631843641426.5,165445967435.27173,6.0442694101398095e-12,1.5528375247791964e-05,5.701940912368801e-07,94336.3130505612,0.0320930010092831,0.0320930010092831,-2.2121958755486214e-13,-0.06687783248708001
331,3.309999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.891265742,8.49136783757504,2899956938484159.5,165445967346.0799,6.044269413398273e-12,1.553011622607457e-05,5.701301705607393e-07,94325.73758160704,0.0320959953356228,0.0320959953356228,-2.2128646907334085e-13,-0.06688520335468695
332,3.319999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.884166904,8.491367834879046,2900281914599183.0,165445967256.88507,6.044269416656844e-12,1.5531856568535754e-05,5.700662875510136e-07,94315.16834441901,0.0320989884454227,0.0320989884454227,-2.213533579615715e-13,-0.06689257198972598
333,3.329999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.877067804,8.491367832182952,2900606771961554.0,165445967167.68698,6.044269419915535e-12,1.5533596275041914e-05,5.700024421921001e-07,94304.60533641558,0.0321019803384418,0.0321019803384418,-2.214202542173203e-13,-0.06689993839030706
334,3.3399999999999893e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.869968377,8.491367829486734,2900931510546337.0,165445967078.48465,6.044269423174381e-12,1.553533534545954e-05,5.699386344684077e-07,94294.04855501668,0.0321049710144392,0.0321049710144392,-2.2148715783835207e-13,-0.06690730255490962
335,3.3499999999999893e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.862868678,8.491367826790409,2901256130328605.0,165445966989.279,6.044269426433348e-12,1.5537073779655136e-05,5.698748643643584e-07,94283.49799764548,0.0321079604731744,0.0321079604731744,-2.2155406882243013e-13,-0.06691466448241101
336,3.359999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.85576877,8.49136782409401,2901580631283441.0,165445966900.07077,6.044269429692409e-12,1.5538811577495243e-05,5.698111318643868e-07,94272.9536617272,0.0321109487144072,0.0321109487144072,-2.216209871673169e-13,-0.0669220241706654
337,3.369999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.84866856,8.49136782139749,2901905013385933.0,165445966810.85867,6.044269432951612e-12,1.5540548738846473e-05,5.697474369529386e-07,94262.41554468768,0.0321139357378966,0.0321139357378966,-2.2168791287077146e-13,-0.06692938161785378
338,3.379999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.84156804,8.491367818700857,2902229276611181.0,165445966721.6427,6.044269436210957e-12,1.5542285263575468e-05,5.696837796144731e-07,94251.88364395576,0.0321169215434022,0.0321169215434022,-2.2175484593055259e-13,-0.06693673682309509
339,3.389999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.83446732,8.49136781600415,2902553420934291.0,165445966632.42435,6.044269439470388e-12,1.5544021151548912e-05,5.696201598334618e-07,94241.35795696313,0.0321199061306843,0.0321199061306843,-2.2182178634441766e-13,-0.06694408978437139
340,3.3999999999999885e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.827366337,8.49136781330734,2902877446330377.0,165445966543.2025,6.044269442729946e-12,1.5545756402633536e-05,5.695565775943881e-07,94230.83848114204,0.0321228894995021,0.0321228894995021,-2.2188873411012134e-13,-0.0669514404996363
341,3.4099999999999885e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.820265055,8.491367810610418,2903201352774562.5,165445966453.977,6.04426944598964e-12,1.5547491016696122e-05,5.694930328817477e-07,94220.32521392722,0.0321258716496156,0.0321258716496156,-2.219556892254169e-13,-0.06695878896775298
342,3.4199999999999885e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.813163508,8.49136780791339,2903525140241979.0,165445966364.74808,6.044269449249457e-12,1.554922499360349e-05,5.694295256800491e-07,94209.81815275586,0.0321288525807847,0.0321288525807847,-2.2202265168805683e-13,-0.06696613518737138
343,3.429999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.80606176,8.49136780521629,2903848808707766.0,165445966275.5167,6.044269452509364e-12,1.55509583332225e-05,5.693660559738135e-07,94199.31729506749,0.0321318322927697,0.0321318322927697,-2.220896214957916e-13,-0.06697347915620355
344,3.439999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.79895972,8.491367802519079,2904172358147072.0,165445966186.2816,6.044269455769407e-12,1.555269103542007e-05,5.693026237475727e-07,94188.82263830231,0.0321348107853303,0.0321348107853303,-2.2215659864636925e-13,-0.06698082087282842
345,3.449999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.791857343,8.491367799821742,2904495788535053.0,165445966097.04233,6.0442694590296014e-12,1.5554423100063164e-05,5.692392289858725e-07,94178.3341799032,0.0321377880582265,0.0321377880582265,-2.2222358313753726e-13,-0.06698816033613753
346,3.459999999999989e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.784754835,8.491367797124353,2904819099846875.0,165445966007.80136,6.04426946228986e-12,1.555615452701876e-05,5.691758716732708e-07,94167.85191731667,0.0321407641112194,0.0321407641112194,-2.222905749670415e-13,-0.06699549754385714
347,3.469999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.777651947,8.49136779442682,2905142292057710.0,165445965918.55573,6.044269465550288e-12,1.555788531615392e-05,5.691125517943369e-07,94157.37584798812,0.0321437389440683,0.0321437389440683,-2.2235757413262498e-13,-0.0670028324945946
348,3.479999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.77054888,8.491367791729218,2905465365142740.0,165445965829.30768,6.044269468810805e-12,1.5559615467335728e-05,5.690492693336529e-07,94146.90596936803,0.0321467125565345,0.0321467125565345,-2.2242458063203067e-13,-0.06701016518694303
349,3.489999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.763445526,8.491367789031509,2905788319077154.5,165445965740.05615,6.044269472071447e-12,1.5561344980431316e-05,5.689860242758136e-07,94136.44227890702,0.0321496849483779,0.0321496849483779,-2.2249159446299887e-13,-0.06701749561906922
350,3.499999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.756341923,8.491367786333702,2906111153836152.0,165445965650.80148,6.044269475332205e-12,1.5563073855307873e-05,5.689228166054248e-07,94125.98477405832,0.0321526561193594,0.0321526561193594,-2.2255861562326882e-13,-0.0670248237894242
351,3.509999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.74923804,8.491367783635791,2906433869394939.0,165445965561.5432,6.044269478593095e-12,1.556480209183261e-05,5.688596463071059e-07,94115.5334522771,0.0321556260692395,0.0321556260692395,-2.226256441105777e-13,-0.06703214969637372
352,3.519999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.742133923,8.491367780937791,2906756465728730.5,165445965472.28207,6.04426948185409e-12,1.5566529689872808e-05,5.687965133654877e-07,94105.08831102093,0.032158594797779,0.032158594797779,-2.2269267992266157e-13,-0.06703947333849669
353,3.529999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.735029597,8.491367778239711,2907078942812750.0,165445965383.01822,6.044269485115183e-12,1.5568256649295763e-05,5.687334177652142e-07,94094.64934774926,0.032161562304739,0.032161562304739,-2.227597230572547e-13,-0.06704679471383201
354,3.5399999999999885e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.727924943,8.491367775541507,2907401300622229.0,165445965293.75037,6.044269488376424e-12,1.5569982969968855e-05,5.6867035949094e-07,94084.21655992257,0.0321645285898798,0.0321645285898798,-2.228267735120892e-13,-0.06705411382097282
355,3.5499999999999884e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.720820084,8.491367772843226,2907723539132407.5,165445965204.47992,6.0442694916377575e-12,1.5571708651759476e-05,5.68607338527333e-07,94073.78994500506,0.0321674936529629,0.0321674936529629,-2.228938312848967e-13,-0.06706143065854064
356,3.5599999999999884e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.713714935,8.491367770144835,2908045658318534.5,165445965115.20584,6.044269494899225e-12,1.5573433694535076e-05,5.685443548590735e-07,94063.36950046147,0.0321704574937491,0.0321704574937491,-2.229608963734063e-13,-0.06706874522446071
357,3.5699999999999883e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.70660954,8.491367767446349,2908367658155866.5,165445965025.92856,6.044269498160809e-12,1.557515809816315e-05,5.684814084708531e-07,94052.95522375936,0.0321734201119996,0.0321734201119996,-2.230279687753456e-13,-0.06707605751745405
358,3.5799999999999883e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.699503954,8.491367764747793,2908689538619668.5,165445964936.6489,6.04426950142248e-12,1.5576881862511222e-05,5.684184993473768e-07,94042.54711236867,0.032176381507476,0.032176381507476,-2.230950484884412e-13,-0.0670833675360143
359,3.589999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.69239808,8.491367762049123,2909011299685214.5,165445964847.36572,6.04426950468428e-12,1.5578604987446898e-05,5.683556274733602e-07,94032.14516376003,0.0321793416799391,0.0321793416799391,-2.2316213551041762e-13,-0.06709067527832246
360,3.599999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.685291942,8.491367759350357,2909332941327786.5,165445964758.0792,6.044269507946202e-12,1.558032747283779e-05,5.682927928335325e-07,94021.749375407,0.0321823006291505,0.0321823006291505,-2.2322922983899786e-13,-0.06709798074274431
361,3.609999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.67818559,8.491367756651508,2909654463522675.0,165445964668.7899,6.0442695112082256e-12,1.5582049318551576e-05,5.682299954126341e-07,94011.35974478528,0.0321852583548718,0.0321852583548718,-2.232963314719031e-13,-0.06710528392761717
362,3.619999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.671078943,8.491367753952547,2909975866245179.0,165445964579.49695,6.044269514470382e-12,1.5583770524455983e-05,5.681672351954178e-07,94000.97626937178,0.0321882148568642,0.0321882148568642,-2.2336344040685309e-13,-0.06711258483169047
363,3.629999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.663972057,8.491367751253494,2910297149470606.0,165445964490.20093,6.044269517732651e-12,1.5585491090418765e-05,5.681045121666487e-07,93990.59894664625,0.0321911701348897,0.0321911701348897,-2.234305566415665e-13,-0.06711988345345787
364,3.6399999999999885e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.656865016,8.491367748554385,2910618313174271.5,165445964400.9031,6.0442695209949855e-12,1.5587211016307728e-05,5.680418263111041e-07,93980.22777409088,0.0321941241887103,0.0321941241887103,-2.2349768017375998e-13,-0.06712717979070248
365,3.6499999999999885e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.649757627,8.491367745855142,2910939357331499.5,165445964311.60086,6.044269524257481e-12,1.5588930301990733e-05,5.679791776135727e-07,93969.86274918755,0.032197077018087,0.032197077018087,-2.2356481100114793e-13,-0.06713447384221638
366,3.6599999999999874e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.642650068,8.491367743155834,2911260281917623.0,165445964222.29645,6.044269527520057e-12,1.5590648947335672e-05,5.679165660588566e-07,93959.50386942305,0.0322000286227824,0.0322000286227824,-2.2363194912144442e-13,-0.067141765606479
367,3.6699999999999874e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.635542255,8.491367740456433,2911581086907982.5,165445964132.98886,6.044269530782749e-12,1.559236695221049e-05,5.678539916317686e-07,93949.15113228414,0.0322029790025582,0.0322029790025582,-2.236990945323609e-13,-0.06714905508179925
368,3.6799999999999873e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.62843416,8.491367737756919,2911901772277928.0,165445964043.67764,6.044269534045573e-12,1.5594084316483185e-05,5.677914543171341e-07,93938.80453526,0.0322059281571763,0.0322059281571763,-2.23766247231608e-13,-0.06715634226668499
369,3.6899999999999873e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.621325865,8.491367735057331,2912222338002817.0,165445963954.36395,6.044269537308487e-12,1.559580104002178e-05,5.677289540997913e-07,93928.4640758428,0.0322088760863992,0.0322088760863992,-2.2383340721689425e-13,-0.06716362715938828
370,3.699999999999988e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.61421736,8.491367732357665,2912542784058016.0,165445963865.04767,6.044269540571496e-12,1.5597517122694356e-05,5.676664909645891e-07,93918.1297515258,0.032211822789989,0.032211822789989,-2.2390057448592678e-13,-0.06717090975820383
371,3.7099999999999877e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.60710853,8.491367729657876,2912863110418900.0,165445963775.72726,6.044269543834656e-12,1.5599232564369046e-05,5.676040648963897e-07,93907.8015598036,0.0322147682677077,0.0322147682677077,-2.2396774903641066e-13,-0.06717819006185266
372,3.7199999999999877e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.599999487,8.491367726958007,2913183317060852.5,165445963686.40436,6.0442695470979065e-12,1.560094736491402e-05,5.675416758800658e-07,93897.47949817445,0.032217712519318,0.032217712519318,-2.240349308660505e-13,-0.06718546806887105
373,3.7299999999999876e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.592890248,8.491367724258062,2913503403959265.0,165445963597.0788,6.044269550361255e-12,1.5602661524197485e-05,5.674793239005043e-07,93887.16356413769,0.0322206555445824,0.0322206555445824,-2.2410211997254842e-13,-0.06719274377728368
374,3.7399999999999876e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.58578074,8.491367721558014,2913823371089537.0,165445963507.74988,6.044269553624726e-12,1.5604375042087706e-05,5.674170089426023e-07,93876.85375519437,0.0322235973432633,0.0322235973432633,-2.2416931635360506e-13,-0.06720001718562685
375,3.7499999999999876e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.578670982,8.49136771885787,2914143218427079.0,165445963418.41785,6.04426955688831e-12,1.560608791845299e-05,5.673547309912697e-07,93866.55006884788,0.0322265379151233,0.0322265379151233,-2.2423652000691967e-13,-0.06720728829245104
376,3.759999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.57156106,8.491367716157667,2914462945947306.5,165445963329.0837,6.0442695601519725e-12,1.5607800153161683e-05,5.672924900314283e-07,93856.25250260429,0.0322294772599255,0.0322294772599255,-2.2430373093018998e-13,-0.06721455709617885
377,3.769999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.564450856,8.491367713457354,2914782553625645.0,165445963239.7461,6.044269563415761e-12,1.5609511746082195e-05,5.672302860480117e-07,93845.96105397,0.0322324153774323,0.0322324153774323,-2.24370949121112e-13,-0.06722182359507656
378,3.779999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.557340447,8.491367710756963,2915102041437530.5,165445963150.40588,6.044269566679643e-12,1.5611222697082953e-05,5.671681190259656e-07,93835.6757204549,0.0322353522674067,0.0322353522674067,-2.2443817457738013e-13,-0.06722908778765202
379,3.789999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.55022978,8.491367708056476,2915421409358403.5,165445963061.06247,6.044269569943645e-12,1.5612933006032458e-05,5.671059889502477e-07,93825.39649956996,0.0322382879296117,0.0322382879296117,-2.245054072966873e-13,-0.06723634967224257
380,3.799999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.543118875,8.4913677053559,2915740657363716.0,165445962971.71603,6.0442695732077535e-12,1.561464267279923e-05,5.67043895805828e-07,93815.12338882861,0.0322412223638102,0.0322412223638102,-2.245726472767246e-13,-0.06724360924744133
381,3.809999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.536007736,8.491367702655232,2916059785428928.0,165445962882.36658,6.044269576471976e-12,1.561635169725186e-05,5.669818395776874e-07,93804.856385746,0.0322441555697655,0.0322441555697655,-2.2463989451518218e-13,-0.06725086651169931
382,3.819999999999987e-13,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358661.5288964,8.491367699954491,2916378793529507.0,165445962793.01474,6.0442695797362845e-12,1.561806007925897e-05,5.669198202508199e-07,93794.59548783972,0.0322470875472409,0.0322470875472409,-2.24707149009748e-13,-0.06725812146332544
