anchor,E_V_m,ne_m_3,nu_i_s_1,tau_i_s,sigma_e_S_m,tau_M_s,Pi_RF
AT_E_PEAK,22358646.49280065,3294526267662742.0,165445773868.87274,6.044276481746638e-12,1.76431513569464e-05,5.018484302303491e-07,83028.70190433908
AT_NE_PEAK,22358646.49280065,3294526267662742.0,165445773868.87274,6.044276481746638e-12,1.76431513569464e-05,5.018484302303491e-07,83028.70190433908
AT_SIGMA_PEAK,22358646.49280065,3294526267662742.0,165445773868.87274,6.044276481746638e-12,1.76431513569464e-05,5.018484302303491e-07,83028.70190433908
EVENT_ROI_MEDIAN,17600689.205848984,1923582323097991.2,110984175436.41637,1.1868160954327631e-11,1.040551206012444e-05,1.64842160127433e-06,120504.50457418314
