dataset,stage,start_time_s,end_time_s,Emax_range,Ne_range,head_velocity_range,peak_dMdt,trusted_low,trusted_high,VHF_status,UHF_status,SHF_status,60_90MHz_status,100_200MHz_status,200_300MHz_status,300_500MHz_status,500_1000MHz_status,1_3GHz_status,3_10GHz_status,VHF_energy,UHF_energy,SHF_energy,60-90 MHz_energy,100-200 MHz_energy,200-300 MHz_energy,300-500 MHz_energy,500 MHz-1 GHz_energy,1-3 GHz_energy,3-10 GHz_energy,dominant_trusted_frequency,peak_CWT_trusted_frequency,stage_frequency_attribution,evidence
F4-P,AVALANCHE,2.516256903067121e-12,4.840034765615241e-10,4.901437e+06:9.859784e+06,5.623811e+08:8.444232e+08,-4.768372e-07:6.463608e+06,121168.79886258817,2941408508.9091916,7966314711.629051,UNTRUSTED,PARTIALLY_TRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,PARTIALLY_TRUSTED,,0.0,2.054441552210686e-06,,,,,,0.0,2.054441552210686e-06,3771036549.883574,2941408508.9091916,SUPPORTED,Ne or ne_max before 1.5x growth threshold
F4-P,INCEPTION,4.840034765615241e-10,6.37146361358746e-10,9.801653e+06:1.058815e+07,8.444232e+08:1.009054e+09,-1.162291e-06:6.882794e+06,39782.21189393941,2941408508.9091916,7966314711.629051,UNTRUSTED,PARTIALLY_TRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,PARTIALLY_TRUSTED,,0.0,9.878051287041352e-07,,,,,,0.0,9.878051287041352e-07,3771036549.883574,2941408508.9091916,SUPPORTED,Ne/ne_max growth established; head displacement below 40 um
F4-P,PROPAGATION,6.37146361358746e-10,1.117517760861587e-09,1.019643e+07:1.204502e+07,1.009054e+09:2.304059e+09,-3.665828e+07:2.851199e+07,276629.0911394842,2941408508.9091916,7966314711.629051,UNTRUSTED,PARTIALLY_TRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,PARTIALLY_TRUSTED,,0.0,1.3657263644904436e-05,,,,,,0.0,1.3657263644904436e-05,3771036549.883574,3068797278.6584435,SUPPORTED,head displacement=2.200e-04 m; peak |dM/dt|=2.766e+05 A m s^-1
