dataset,stage,start_time_s,end_time_s,Emax_range,Ne_range,head_velocity_range,peak_dMdt,trusted_low,trusted_high,VHF_status,UHF_status,SHF_status,60_90MHz_status,100_200MHz_status,200_300MHz_status,300_500MHz_status,500_1000MHz_status,1_3GHz_status,3_10GHz_status,VHF_energy,UHF_energy,SHF_energy,60-90 MHz_energy,100-200 MHz_energy,200-300 MHz_energy,300-500 MHz_energy,500 MHz-1 GHz_energy,1-3 GHz_energy,3-10 GHz_energy,dominant_trusted_frequency,peak_CWT_trusted_frequency,stage_frequency_attribution,evidence
F4-C,PRE_INTERACTION,2.7273982102533226e-12,7.038639999999999e-10,6.534962e+06:1.229662e+07,1.143310e+09:2.832729e+10,-4.768372e-07:1.018615e+07,6122118.201634049,3047273105.1868486,10233758844.919172,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,,,0.7511043406206757,,,,,,,0.7510522323729162,3936061094.1996818,3047273105.1868486,SUPPORTED,before event-time minus 0.2 ns
F4-C,ENCOUNTER,7.038639999999999e-10,8.538639999999999e-10,1.180621e+07:1.246839e+07,2.850138e+10:7.338036e+10,-7.152557e-07:1.035793e+07,24354066.64437294,3047273105.1868486,10233758844.919172,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,,,5.248037763320687,,,,,,,5.232752705028278,3936061094.1996818,5235859332.332746,SUPPORTED,heads approaching event-time window
F4-C,COLLISION,8.538639999999999e-10,9.538639999999999e-10,1.132008e+07:1.275913e+07,7.390455e+10:1.515135e+11,-4.864510e+08:2.145813e+07,34674317.34577298,3047273105.1868486,10233758844.919172,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,,,1.8608435745893284,,,,,,,1.813783254016003,3936061094.1996818,5956053460.129209,SUPPORTED,stage4_run event_time_s=9.038640e-10
F4-C,POST_COLLISION,9.538639999999999e-10,1.1040907202412387e-09,1.131694e+07:1.153453e+07,1.522190e+11:3.462483e+11,-3.180951e+07:1.907349e-06,66691871.37673826,3047273105.1868486,10233758844.919172,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,UNTRUSTED,PARTIALLY_TRUSTED,,,0.0,,,,,,,0.0,3936061094.1996818,,SUPPORTED,early post-event response
