path,kind,status,note
results/stage3/forensic/invalidated_development_runs/coarse_ml_config_changed/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_gaussian_boundary_performance_20260722/fields_200.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_gaussian_boundary_performance_20260722/fields_300.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_gaussian_boundary_performance_20260722/fields_100.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_gaussian_boundary_performance_20260722/checkpoint.bin,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_gaussian_boundary_performance_20260722/fields_000000.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_gaussian_boundary_performance_20260722/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/stale_registry_20260722/S3-TRANSPORT-001.stdout.log,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/stale_registry_20260722/S3-TRANSPORT-001.stderr.log,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_pre_formation_stop_20260722/fields_200.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_pre_formation_stop_20260722/fields_300.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_pre_formation_stop_20260722/fields_100.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_pre_formation_stop_20260722/checkpoint.bin,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_pre_formation_stop_20260722/fields_000000.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_pre_formation_stop_20260722/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_final.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_200.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_000000.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_400.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_300.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/solver_iterations.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_300.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/conservation.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_final.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_100.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_100.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/timestep_controller.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/termination_reason.txt,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_200.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/checkpoint.bin,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_000000.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/head_trajectory.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_old_head_gate_20260722/fields_400.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_head_ambiguity_gate_20260722/fields_200.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_head_ambiguity_gate_20260722/fields_100.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_head_ambiguity_gate_20260722/checkpoint.bin,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_head_ambiguity_gate_20260722/fields_000000.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/baseline_ml_head_ambiguity_gate_20260722/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_final.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_200.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_000000.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_400.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_300.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/solver_iterations.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_300.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/conservation.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_final.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_100.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_100.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/timestep_controller.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/termination_reason.txt,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_200.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/checkpoint.bin,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_000000.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/head_trajectory.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_gaussian_boundary_evidence_superseded_20260722/fields_400.h5,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_cold_start_performance_20260722/checkpoint.bin,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/coarse_ml_cold_start_performance_20260722/fields_000000.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
