x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,0.0,0.0,0.0,-7142857.149654629,7142857.149654629,gas_gap,7.656249999999998e-13
0.0,8.749999999999999e-07,6.250000010660059,0.0,-7142857.1620924305,7142857.1620924305,gas_gap,7.656249999999998e-13
0.0,1.7499999999999998e-06,12.500000037860667,0.0,-7142857.189140184,7142857.189140184,gas_gap,7.656249999999998e-13
0.0,2.6249999999999994e-06,18.750000099924467,0.0,-7142857.244923544,7142857.244923544,gas_gap,7.656249999999998e-13
0.0,3.4999999999999995e-06,25.000000232270814,0.0,-7142857.3555352455,7142857.3555352455,gas_gap,7.656249999999998e-13
0.0,4.375e-06,31.250000501508786,0.0,-7142857.568110874,7142857.568110874,gas_gap,7.656249999999998e-13
0.0,5.249999999999999e-06,37.500001029962625,0.0,-7142857.966098578,7142857.966098578,gas_gap,7.656249999999998e-13
0.0,6.124999999999999e-06,43.75000203758448,0.0,-7142858.694508404,7142858.694508404,gas_gap,7.656249999999998e-13
0.0,6.999999999999999e-06,50.00000391235672,0.0,-7142860.000968406,7142860.000968406,gas_gap,7.656249999999998e-13
0.0,7.874999999999998e-06,56.2500073266099,0.0,-7142862.301397259,7142862.301397259,gas_gap,7.656249999999998e-13
0.0,8.75e-06,62.500013426150375,0.0,-7142866.283372538,7142866.283372538,gas_gap,7.656249999999998e-13
0.0,9.624999999999998e-06,68.75002413301088,0.0,-7142873.0662560845,7142873.0662560845,gas_gap,7.656249999999998e-13
0.0,1.0499999999999998e-05,75.00004262272058,0.0,-7142884.445333113,7142884.445333113,gas_gap,7.656249999999998e-13
0.0,1.1374999999999999e-05,81.25007406541285,0.0,-7142903.258180445,7142903.258180445,gas_gap,7.656249999999998e-13
0.0,1.2249999999999998e-05,87.50012675951186,0.0,-7142933.925752404,7142933.925752404,gas_gap,7.656249999999998e-13
0.0,1.3124999999999999e-05,93.75021384027575,0.0,-7142983.2387255775,7142983.2387255775,gas_gap,7.656249999999998e-13
